Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",6.82,6.87,6.33,6.43,"137,673","55,572,300"
"Mar 05, 2018",6.84,6.96,6.78,6.82,"252,844","55,729,600"
"Mar 04, 2018",6.75,6.85,6.59,6.84,"266,100","54,972,600"
"Mar 03, 2018",6.43,6.88,6.43,6.75,"359,965","52,357,200"
"Mar 02, 2018",6.46,6.59,6.34,6.44,"288,190","52,618,500"
"Mar 01, 2018",6.32,6.56,6.25,6.47,"306,966","51,455,600"
"Feb 28, 2018",6.47,6.67,6.31,6.31,"219,043","52,686,500"
"Feb 27, 2018",6.41,6.81,6.35,6.47,"300,794","52,213,600"
"Feb 26, 2018",6.06,6.43,6.06,6.39,"101,128","49,375,300"
"Feb 25, 2018",6.16,6.46,5.95,6.06,"320,802","50,213,800"
"Feb 24, 2018",6.39,6.52,6.03,6.17,"232,676","52,064,400"
"Feb 23, 2018",5.84,6.64,5.74,6.39,"192,463","47,573,800"
"Feb 22, 2018",6.04,6.24,5.84,5.84,"200,109","49,176,000"
"Feb 21, 2018",6.58,6.58,5.90,6.04,"236,237","53,596,300"
"Feb 20, 2018",6.77,6.81,6.52,6.59,"103,716","55,132,700"
"Feb 19, 2018",6.69,6.85,6.49,6.76,"258,551","54,514,500"
"Feb 18, 2018",7.09,7.21,6.68,6.73,"254,233","57,737,700"
"Feb 17, 2018",6.45,7.08,6.44,7.08,"221,214","52,503,600"
"Feb 16, 2018",6.36,6.56,6.27,6.45,"131,690","51,825,100"
"Feb 15, 2018",5.99,6.45,5.92,6.38,"153,208","48,808,300"
"Feb 14, 2018",5.50,6.04,5.50,5.99,"100,442","44,779,000"
"Feb 13, 2018",5.48,5.90,5.41,5.50,"329,606","44,647,100"
"Feb 12, 2018",4.93,5.55,4.92,5.47,"320,748","40,121,600"
"Feb 11, 2018",5.36,5.36,4.89,4.89,"143,859","43,631,300"
"Feb 10, 2018",5.20,5.55,5.12,5.36,"123,743","42,369,100"
"Feb 09, 2018",5.08,5.29,4.89,5.20,"251,023","41,350,500"
"Feb 08, 2018",4.74,5.92,4.74,5.06,"235,668","38,575,900"
"Feb 07, 2018",4.37,5.46,4.14,4.74,"410,316","35,625,400"
"Feb 06, 2018",4.50,4.66,3.70,4.40,"622,882","36,684,000"
"Feb 05, 2018",5.21,5.90,4.10,4.47,"525,624","42,419,300"
"Feb 04, 2018",5.61,6.58,4.95,5.26,"442,304","45,715,600"
"Feb 03, 2018",6.04,6.45,5.42,5.60,"578,552","49,227,600"
"Feb 02, 2018",6.10,6.15,5.06,6.03,"299,708","49,722,400"
"Feb 01, 2018",5.95,6.62,5.87,6.12,"309,772","48,463,500"
"Jan 31, 2018",7.03,7.79,5.89,5.93,"548,269","57,260,700"
"Jan 30, 2018",7.24,7.92,6.85,6.97,"477,759","58,959,800"
"Jan 29, 2018",7.96,8.07,7.23,7.23,"539,559","64,859,500"
"Jan 28, 2018",8.17,8.45,7.86,8.01,"488,190","66,588,700"
"Jan 27, 2018",7.73,8.19,7.68,8.13,"414,409","62,930,600"
"Jan 26, 2018",8.07,8.23,7.40,7.72,"406,024","65,756,200"
"Jan 25, 2018",8.16,8.41,8.04,8.09,"405,418","66,497,300"
"Jan 24, 2018",7.47,8.09,7.31,8.03,"388,980","60,826,000"
"Jan 23, 2018",7.31,7.76,6.93,7.46,"306,671","59,557,600"
"Jan 22, 2018",8.02,8.15,7.03,7.35,"380,817","65,334,000"
"Jan 21, 2018",8.68,8.68,7.71,7.97,"479,593","70,690,000"
"Jan 20, 2018",7.93,8.80,7.93,8.66,"548,936","64,588,900"
"Jan 19, 2018",8.05,8.83,7.72,7.89,"554,743","65,568,200"
"Jan 18, 2018",7.98,8.71,7.71,8.10,"568,184","64,985,500"
"Jan 17, 2018",7.63,8.06,5.79,7.94,"579,376","62,120,100"
"Jan 16, 2018",10.12,10.12,6.79,7.67,"675,453","82,423,900"
"Jan 15, 2018",10.40,10.59,10.07,10.08,"489,210","84,725,900"
"Jan 14, 2018",10.87,10.96,10.21,10.44,"576,636","88,518,100"
"Jan 13, 2018",10.91,11.23,10.21,10.85,"703,358","88,840,200"
"Jan 12, 2018",10.19,11.05,9.88,10.87,"612,494","83,039,400"
"Jan 11, 2018",11.53,11.74,9.71,10.17,"727,834","93,895,100"
"Jan 10, 2018",11.83,11.86,10.08,11.55,"1,408,800","96,331,100"
"Jan 09, 2018",10.19,11.73,9.91,11.73,"1,795,990","82,994,200"
"Jan 08, 2018",9.33,10.21,9.09,10.21,"1,145,570","76,017,300"
"Jan 07, 2018",8.36,9.43,8.35,9.31,"1,264,770","68,084,300"
"Jan 06, 2018",7.91,8.43,7.76,8.36,"1,090,980","64,416,600"
"Jan 05, 2018",7.77,8.22,7.63,7.89,"805,495","63,260,200"
"Jan 04, 2018",7.17,7.80,6.99,7.78,"949,190","58,410,700"
"Jan 03, 2018",6.59,7.26,6.36,7.14,"971,381","53,649,400"
"Jan 02, 2018",6.09,6.94,6.02,6.58,"967,904","49,577,000"
"Jan 01, 2018",5.97,6.15,5.57,6.08,"801,524","48,642,400"
"Dec 31, 2017",5.50,6.07,5.44,5.96,"817,452","44,789,600"
"Dec 30, 2017",6.08,6.08,5.24,5.53,"718,440","49,529,600"
"Dec 29, 2017",6.17,6.31,5.87,6.10,"779,624","50,221,100"
"Dec 28, 2017",6.04,6.18,5.71,6.14,"770,299","49,178,900"
"Dec 27, 2017",5.91,6.16,5.68,6.05,"903,958","48,165,400"
"Dec 26, 2017",5.80,6.14,5.61,5.86,"870,050","47,236,900"
"Dec 25, 2017",5.50,5.90,5.47,5.80,"806,482","44,819,800"
"Dec 24, 2017",6.15,6.15,4.76,5.47,"953,871","50,102,000"
"Dec 23, 2017",5.59,6.65,5.56,6.11,"952,828","45,576,400"
"Dec 22, 2017",6.13,6.19,3.90,5.55,"848,169","49,895,800"
"Dec 21, 2017",6.36,6.44,5.56,6.11,"816,668","51,835,300"
"Dec 20, 2017",5.72,6.85,5.25,6.36,"1,035,330","46,594,700"
"Dec 19, 2017",6.50,6.82,5.61,5.73,"964,834","52,928,800"
"Dec 18, 2017",5.39,7.53,5.13,6.50,"1,197,700","43,878,200"
"Dec 17, 2017",5.21,5.82,5.19,5.38,"600,670","42,439,500"
"Dec 16, 2017",5.37,5.63,5.05,5.20,"759,918","43,776,500"
"Dec 15, 2017",5.00,5.51,4.50,5.36,"954,702","40,697,200"
"Dec 14, 2017",4.50,5.05,4.48,4.99,"833,651","36,647,800"
"Dec 13, 2017",5.12,5.24,4.44,4.51,"815,680","41,741,400"
"Dec 12, 2017",4.94,5.11,4.73,5.11,"677,641","40,212,000"
"Dec 11, 2017",4.38,4.94,4.38,4.94,"844,290","35,686,000"
"Dec 10, 2017",4.44,4.56,4.01,4.40,"528,452","36,200,600"
"Dec 09, 2017",4.55,4.63,4.26,4.44,"618,719","37,038,000"
"Dec 08, 2017",4.08,4.55,3.85,4.55,"613,748","33,228,000"
"Dec 07, 2017",4.20,4.48,4.02,4.06,"607,282","34,233,800"
"Dec 06, 2017",4.08,4.37,4.08,4.20,"524,883","33,204,500"
"Dec 05, 2017",4.11,4.17,4.07,4.08,"440,894","33,480,300"
"Dec 04, 2017",4.53,4.62,4.09,4.10,"362,817","36,921,200"
"Dec 03, 2017",4.31,4.53,4.17,4.53,"500,776","35,147,600"
"Dec 02, 2017",4.25,4.45,4.24,4.31,"433,359","34,590,200"
"Dec 01, 2017",3.78,4.37,3.69,4.24,"558,196","30,773,000"
"Nov 30, 2017",3.85,4.05,3.49,3.81,"449,448","31,336,000"
"Nov 29, 2017",4.13,4.40,3.60,3.81,"451,199","33,683,200"
"Nov 28, 2017",4.25,4.26,4.09,4.13,"574,690","34,580,000"
"Nov 27, 2017",4.52,4.55,4.12,4.23,"572,188","36,838,600"
"Nov 26, 2017",4.51,4.67,4.39,4.52,"442,275","36,749,900"
"Nov 25, 2017",4.21,4.53,4.18,4.51,"438,986","34,322,900"
"Nov 24, 2017",4.09,4.24,3.85,4.22,"421,072","33,304,300"
"Nov 23, 2017",4.42,4.44,4.09,4.09,"453,356","35,993,000"
"Nov 22, 2017",4.19,4.52,4.18,4.42,"372,263","34,126,300"
"Nov 21, 2017",4.55,4.56,4.01,4.18,"405,529","37,065,600"
"Nov 20, 2017",4.33,4.62,4.29,4.56,"419,098","35,275,000"
"Nov 19, 2017",4.62,4.65,4.37,4.37,"396,771","37,636,200"
"Nov 18, 2017",4.43,4.64,4.37,4.62,"453,028","36,057,500"
"Nov 17, 2017",4.55,4.80,4.27,4.44,"353,765","37,099,400"
"Nov 16, 2017",4.25,4.55,4.02,4.55,"388,858","34,599,900"
"Nov 15, 2017",4.37,4.48,4.06,4.24,"380,953","35,582,100"
"Nov 14, 2017",4.19,4.47,4.19,4.37,"245,298","34,137,200"
"Nov 13, 2017",4.23,4.54,4.11,4.17,"231,715","34,488,600"
"Nov 12, 2017",4.67,4.67,4.10,4.23,"272,079","38,058,900"
"Nov 11, 2017",4.87,4.99,4.41,4.67,"261,436","39,704,400"
"Nov 10, 2017",4.95,5.16,4.56,4.89,"333,317","40,288,000"
"Nov 09, 2017",4.74,5.06,4.71,4.95,"352,141","38,594,200"
"Nov 08, 2017",4.54,4.80,4.52,4.74,"258,137","36,997,800"
"Nov 07, 2017",4.42,4.72,4.33,4.55,"202,920","35,980,500"
"Nov 06, 2017",4.42,4.49,4.24,4.42,"363,596","35,996,400"
"Nov 05, 2017",4.66,4.81,4.40,4.41,"350,035","37,978,100"
