Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.058908,0.059467,0.056295,0.059467,"7,136","9,715,440"
"Mar 22, 2018",0.060223,0.061420,0.057694,0.058909,"6,348","9,932,280"
"Mar 21, 2018",0.060282,0.061998,0.059481,0.060333,"8,700","9,942,110"
"Mar 20, 2018",0.058379,0.061001,0.056505,0.060173,"5,833","9,628,240"
"Mar 19, 2018",0.055448,0.058760,0.055108,0.057735,"38,360","9,144,850"
"Mar 18, 2018",0.053392,0.056260,0.049509,0.055683,"13,898","8,805,720"
"Mar 17, 2018",0.056201,0.056318,0.052449,0.053522,271,"9,268,920"
"Mar 16, 2018",0.055924,0.058081,0.053831,0.056108,"26,800","9,223,350"
"Mar 15, 2018",0.055562,0.056911,0.052121,0.055956,"23,613","9,163,590"
"Mar 14, 2018",0.061941,0.063360,0.054131,0.055587,"16,096","10,215,700"
"Mar 13, 2018",0.061531,0.064197,0.060077,0.061932,"35,878","10,148,000"
"Mar 12, 2018",0.064615,0.066971,0.059659,0.061886,"61,582","10,656,700"
"Mar 11, 2018",0.059409,0.065848,0.057380,0.064819,"7,112","9,798,000"
"Mar 10, 2018",0.062688,0.064213,0.059072,0.059614,"40,867","10,338,900"
"Mar 09, 2018",0.062916,0.063659,0.056789,0.062661,"12,138","10,376,500"
"Mar 08, 2018",0.066959,0.068327,0.061355,0.063317,"23,608","11,043,300"
"Mar 07, 2018",0.072567,0.073659,0.063942,0.067054,"11,129","11,968,200"
"Mar 06, 2018",0.077891,0.077891,0.071809,0.072661,"14,516","12,846,200"
"Mar 05, 2018",0.077839,0.079022,0.077305,0.078107,"21,528","12,837,600"
"Mar 04, 2018",0.077448,0.077896,0.075131,0.077896,"11,176","12,773,100"
"Mar 03, 2018",0.074601,0.077805,0.074601,0.077581,"52,470","12,303,700"
"Mar 02, 2018",0.073818,0.111168,0.073149,0.074693,"21,531","12,174,400"
"Mar 01, 2018",0.069900,0.074899,0.069356,0.074008,"25,515","11,528,300"
"Feb 28, 2018",0.072198,0.074694,0.069735,0.069797,"78,259","11,907,300"
"Feb 27, 2018",0.069810,0.073708,0.068852,0.072283,"12,829","11,513,400"
"Feb 26, 2018",0.064901,0.070507,0.063702,0.069609,"27,225","10,703,800"
"Feb 25, 2018",0.065642,0.068002,0.063086,0.064818,"12,728","10,826,100"
"Feb 24, 2018",0.068693,0.071075,0.063614,0.065742,"3,694","11,329,200"
"Feb 23, 2018",0.066650,0.070108,0.065005,0.068780,"23,901","10,992,300"
"Feb 22, 2018",0.070858,0.073843,0.066004,0.066712,325,"11,686,300"
