Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.004652,0.004673,0.004316,0.004496,"5,365","11,204,200"
"Mar 25, 2018",0.004472,0.004759,0.004412,0.004655,"23,979","10,764,700"
"Mar 24, 2018",0.004703,0.004810,0.004363,0.004534,"4,350","11,321,300"
"Mar 23, 2018",0.004699,0.004723,0.004358,0.004635,"10,000","11,311,000"
"Mar 22, 2018",0.004914,0.004983,0.004473,0.004699,"10,361","11,820,900"
"Mar 21, 2018",0.004301,0.005053,0.004272,0.004922,"25,779","10,347,700"
"Mar 20, 2018",0.004353,0.004594,0.004117,0.004293,"8,369","10,471,400"
"Mar 19, 2018",0.003934,0.004470,0.003910,0.004305,"24,478","9,284,060"
"Mar 18, 2018",0.003964,0.004073,0.003633,0.003950,979,"9,356,650"
"Mar 17, 2018",0.004151,0.004389,0.003952,0.003974,"10,262","9,797,170"
"Mar 16, 2018",0.004358,0.004394,0.003897,0.004144,"19,059","10,285,200"
"Mar 15, 2018",0.004206,0.004478,0.003886,0.004360,"17,789","9,925,630"
"Mar 14, 2018",0.004939,0.004987,0.004097,0.004207,"12,583","11,656,700"
"Mar 13, 2018",0.005648,0.005754,0.004587,0.004938,"9,412","13,329,900"
"Mar 12, 2018",0.005025,0.005681,0.004576,0.005681,"4,266","11,593,400"
"Mar 11, 2018",0.004914,0.005369,0.004261,0.005041,"40,761","11,338,100"
"Mar 10, 2018",0.006150,0.006161,0.004886,0.004931,"13,105","14,190,100"
"Mar 09, 2018",0.006397,0.006535,0.005176,0.006148,"16,195","14,758,500"
"Mar 08, 2018",0.006967,0.007146,0.006282,0.006437,"12,530","16,075,500"
"Mar 07, 2018",0.007221,0.007916,0.006581,0.006978,"29,787","16,660,800"
"Mar 06, 2018",0.007947,0.008107,0.007126,0.007405,"21,871","17,553,400"
"Mar 05, 2018",0.008610,0.008734,0.007794,0.007969,"23,152","19,018,200"
"Mar 04, 2018",0.008697,0.008704,0.007679,0.008616,"20,810","19,211,700"
"Mar 03, 2018",0.008524,0.008907,0.008219,0.008712,"31,299","18,829,700"
"Mar 02, 2018",0.008200,0.009400,0.007857,0.008535,"27,533","15,718,200"
"Mar 01, 2018",0.007868,0.010367,0.006117,0.008221,"66,843","15,081,800"
"Feb 28, 2018",0.008356,0.008990,0.007849,0.007856,"35,746","16,017,800"
"Feb 27, 2018",0.007940,0.008521,0.007807,0.008366,"27,374","15,219,600"
"Feb 26, 2018",0.007676,0.008255,0.007551,0.007917,"41,907","14,714,200"
"Feb 25, 2018",0.007745,0.008079,0.007475,0.007667,"19,032","14,507,500"
"Feb 24, 2018",0.008399,0.008835,0.007494,0.007842,"7,367","15,733,900"
"Feb 23, 2018",0.007638,0.008858,0.007449,0.008410,"32,227","13,720,100"
"Feb 22, 2018",0.008067,0.008191,0.006882,0.007645,"24,353","14,490,500"
"Feb 21, 2018",0.008336,0.008796,0.007748,0.008075,"32,299","11,096,900"
"Feb 20, 2018",0.008561,0.009131,0.008258,0.008347,"5,845","11,395,500"
"Feb 19, 2018",0.008142,0.009026,0.007962,0.008553,"68,332","10,838,700"
"Feb 18, 2018",0.008885,0.008943,0.007864,0.008180,"21,845","11,827,000"
"Feb 17, 2018",0.007733,0.008911,0.007658,0.008858,"31,669","10,293,900"
"Feb 16, 2018",0.007974,0.008130,0.007341,0.007735,"25,120","10,615,000"
"Feb 15, 2018",0.007581,0.008137,0.007387,0.008008,"18,044","10,091,000"
"Feb 14, 2018",0.006804,0.007637,0.006708,0.007561,"34,505","9,057,580"
"Feb 13, 2018",0.007164,0.007216,0.006397,0.006505,"4,167","9,535,830"
"Feb 12, 2018",0.006612,0.007485,0.006612,0.007151,"24,507","8,801,430"
"Feb 11, 2018",0.006723,0.007275,0.006109,0.006570,"25,496","8,949,980"
"Feb 10, 2018",0.006929,0.007549,0.006421,0.006729,"23,572","9,223,900"
"Feb 09, 2018",0.006421,0.007341,0.005954,0.006924,"27,371","8,546,770"
"Feb 08, 2018",0.005764,0.006996,0.005764,0.006401,"16,041","7,672,920"
"Feb 07, 2018",0.006063,0.007221,0.005655,0.005787,"36,489","8,070,620"
"Feb 06, 2018",0.005680,0.006260,0.004892,0.006124,"14,171","7,561,410"
"Feb 05, 2018",0.007138,0.007361,0.005391,0.005673,"21,735","9,502,290"
"Feb 04, 2018",0.008060,0.009946,0.006495,0.007208,"50,733","10,729,500"
"Feb 03, 2018",0.006822,0.009821,0.006634,0.008056,"53,255","9,080,720"
"Feb 02, 2018",0.006604,0.008173,0.006137,0.006947,"32,101","8,791,480"
"Feb 01, 2018",0.007449,0.010722,0.006561,0.006617,"37,728","9,916,130"
"Jan 31, 2018",0.006889,0.010261,0.006628,0.008250,"68,777","9,170,910"
"Jan 30, 2018",0.007896,0.007916,0.006777,0.006879,"37,920","10,510,700"
"Jan 29, 2018",0.008028,0.008488,0.007279,0.007893,"68,711","10,687,000"
"Jan 28, 2018",0.007180,0.009047,0.007119,0.008036,"182,239","9,557,590"
"Jan 27, 2018",0.007006,0.007450,0.006535,0.007143,"40,017","9,326,720"
"Jan 26, 2018",0.006998,0.007397,0.006174,0.007011,"43,840","9,315,400"
"Jan 25, 2018",0.006750,0.007574,0.006586,0.007118,"27,051","8,985,460"
"Jan 24, 2018",0.006982,0.007909,0.006269,0.006641,"95,398","9,294,380"
"Jan 23, 2018",0.006292,0.007381,0.005427,0.006909,"45,765","8,375,150"
"Jan 22, 2018",0.007184,0.007952,0.006107,0.006308,"15,174","9,563,000"
"Jan 21, 2018",0.008206,0.008472,0.006924,0.007087,"34,892","10,924,100"
"Jan 20, 2018",0.008160,0.009031,0.007517,0.008187,"42,517","10,861,600"
"Jan 19, 2018",0.007449,0.008691,0.007166,0.007680,"39,734","9,916,400"
"Jan 18, 2018",0.007449,0.008374,0.005829,0.007529,"39,754","9,915,960"
"Jan 17, 2018",0.006393,0.008127,0.005290,0.007421,"60,362","8,510,550"
"Jan 16, 2018",0.008133,0.009601,0.006126,0.006426,"26,362","10,826,200"
"Jan 15, 2018",0.009843,0.011225,0.008026,0.008520,"55,765","13,103,000"
"Jan 14, 2018",0.011237,0.011454,0.009328,0.009915,"73,517","14,958,800"
"Jan 13, 2018",0.011559,0.012038,0.009975,0.011230,"72,686","15,387,100"
"Jan 12, 2018",0.008453,0.011721,0.008193,0.011162,"131,565","11,252,600"
"Jan 11, 2018",0.009699,0.010608,0.006579,0.008398,"60,374","12,911,300"
"Jan 10, 2018",0.010645,0.010842,0.009056,0.009710,"64,159","14,169,800"
"Jan 09, 2018",0.010170,0.012197,0.009048,0.010633,"161,828","13,538,100"
"Jan 08, 2018",0.010231,0.010914,0.008714,0.010192,"88,091","13,619,600"
"Jan 07, 2018",0.010116,0.011103,0.008301,0.010246,"89,215","13,466,300"
"Jan 06, 2018",0.010553,0.011045,0.008882,0.010125,"58,525","14,048,000"
"Jan 05, 2018",0.010686,0.011341,0.007286,0.010189,"146,111","14,224,800"
"Jan 04, 2018",0.007721,0.011271,0.004572,0.010731,"186,847","10,278,200"
"Jan 03, 2018",0.007052,0.007515,0.006706,0.007414,"47,698","9,387,420"
"Jan 02, 2018",0.005565,0.007203,0.005508,0.007076,"53,816","7,407,930"
"Jan 01, 2018",0.006590,0.006590,0.005083,0.005566,"57,186","8,772,360"
"Dec 31, 2017",0.005137,0.006627,0.005084,0.006565,"34,044","6,838,790"
"Dec 30, 2017",0.005779,0.006638,0.004891,0.005191,"19,403","7,692,150"
"Dec 29, 2017",0.005919,0.006580,0.005467,0.006558,"7,809","7,878,960"
"Dec 28, 2017",0.006261,0.006261,0.004641,0.005853,"11,575","8,334,400"
"Dec 27, 2017",0.006222,0.006882,0.004759,0.006757,"24,497","8,282,030"
"Dec 26, 2017",0.006736,0.007437,0.005966,0.006217,"6,977","8,966,100"
"Dec 25, 2017",0.007050,0.007099,0.006121,0.006742,"25,244","9,384,460"
"Dec 24, 2017",0.006764,0.007178,0.005744,0.006989,"47,146","9,004,050"
"Dec 23, 2017",0.006297,0.007463,0.006143,0.006691,"25,287","8,381,680"
"Dec 22, 2017",0.007469,0.007539,0.005176,0.006238,"24,646","9,942,270"
"Dec 21, 2017",0.007743,0.007928,0.006952,0.007443,"38,632","10,307,400"
"Dec 20, 2017",0.007824,0.009385,0.007001,0.007723,"65,888","10,415,300"
"Dec 19, 2017",0.008620,0.009022,0.007571,0.007831,"30,555","11,474,700"
"Dec 18, 2017",0.009179,0.009181,0.007600,0.008613,"101,062","12,218,800"
"Dec 17, 2017",0.009921,0.010321,0.008982,0.009152,"3,658","13,206,400"
"Dec 16, 2017",0.009735,0.010716,0.009166,0.009919,"32,632","12,958,400"
"Dec 15, 2017",0.009410,0.010444,0.009020,0.009721,"42,305","12,526,700"
"Dec 14, 2017",0.009007,0.010167,0.008944,0.009396,"61,950","11,989,900"
"Dec 13, 2017",0.009743,0.010421,0.008972,0.009036,"49,512","12,969,800"
"Dec 12, 2017",0.010076,0.010312,0.009111,0.009735,"69,655","13,412,700"
"Dec 11, 2017",0.009520,0.010472,0.009402,0.010044,"23,694","12,673,200"
"Dec 10, 2017",0.009224,0.010402,0.008099,0.009590,"59,133","12,278,700"
"Dec 09, 2017",0.009507,0.010770,0.008182,0.009187,"17,608","12,655,100"
"Dec 08, 2017",0.013193,0.013193,0.007860,0.010584,"28,766","17,561,500"
"Dec 07, 2017",0.012604,0.013270,0.009405,0.013162,"33,184","16,777,400"
"Dec 06, 2017",0.011286,0.012643,0.011189,0.012625,"67,173","15,023,800"
"Dec 05, 2017",0.010857,0.011618,0.010410,0.011304,"27,573","14,452,700"
"Dec 04, 2017",0.011166,0.011536,0.010615,0.010836,"35,601","14,863,100"
"Dec 03, 2017",0.012315,0.012691,0.010516,0.011129,"45,811","16,392,500"
"Dec 02, 2017",0.012512,0.012944,0.011908,0.012303,"25,825","16,656,100"
"Dec 01, 2017",0.011560,0.012638,0.011143,0.012519,"36,578","15,387,800"
"Nov 30, 2017",0.010921,0.012028,0.010482,0.011531,"31,168","14,537,200"
"Nov 29, 2017",0.011517,0.013142,0.010193,0.010756,"38,830","15,330,400"
"Nov 28, 2017",0.011946,0.012113,0.011365,0.011528,"50,309","20,743,500"
"Nov 27, 2017",0.011557,0.012075,0.011489,0.011916,"29,194","20,067,700"
"Nov 26, 2017",0.010842,0.011736,0.010830,0.011555,"28,811","18,826,800"
"Nov 25, 2017",0.010251,0.010846,0.010184,0.010846,"35,594","17,799,900"
"Nov 24, 2017",0.009959,0.010352,0.009769,0.010271,"14,393","17,294,000"
"Nov 23, 2017",0.010115,0.010227,0.009855,0.009973,"18,340","17,563,900"
