Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.742317,0.775025,0.708770,0.771497,"155,768","18,479,800"
"Mar 29, 2018",0.848359,0.850270,0.729523,0.743788,"148,562","21,116,500"
"Mar 28, 2018",0.862936,0.887858,0.845480,0.847539,"155,540","21,476,700"
"Mar 27, 2018",0.999393,1.01,0.862377,0.862403,"215,081","24,869,100"
"Mar 26, 2018",1.02,1.03,0.942088,1.00,"171,237","25,488,700"
"Mar 25, 2018",1.03,1.05,0.996122,1.03,"185,182","25,557,600"
"Mar 24, 2018",1.07,1.08,1.03,1.03,"189,330","26,731,300"
"Mar 23, 2018",1.07,1.07,1.01,1.07,"188,143","26,535,000"
"Mar 22, 2018",1.12,1.14,1.04,1.07,"182,642","27,875,200"
"Mar 21, 2018",1.14,1.17,1.11,1.12,"211,895","28,261,000"
"Mar 20, 2018",1.08,1.16,1.03,1.13,"72,172","26,773,500"
"Mar 19, 2018",1.06,1.11,1.04,1.07,"135,669","26,340,900"
"Mar 18, 2018",1.01,1.07,0.864529,1.06,"165,838","25,029,800"
"Mar 17, 2018",1.04,1.04,0.979158,1.01,"165,699","25,738,700"
"Mar 16, 2018",1.04,1.06,1.01,1.04,"149,232","25,710,800"
"Mar 15, 2018",1.05,1.07,0.985861,1.04,"133,485","26,130,100"
"Mar 14, 2018",1.27,1.27,1.02,1.05,"165,067","31,398,700"
"Mar 13, 2018",1.27,1.31,1.26,1.27,"153,040","31,580,100"
"Mar 12, 2018",1.33,1.36,1.25,1.27,"165,869","32,847,500"
"Mar 11, 2018",1.23,1.35,1.20,1.32,"220,188","30,463,900"
"Mar 10, 2018",1.34,1.37,1.22,1.23,"207,444","33,253,500"
"Mar 09, 2018",1.35,1.36,1.23,1.34,"122,036","33,463,400"
"Mar 08, 2018",1.44,1.47,1.34,1.35,"163,867","35,603,000"
"Mar 07, 2018",1.56,1.57,1.39,1.44,"160,081","38,602,500"
"Mar 06, 2018",1.62,1.66,1.55,1.56,"227,778","40,065,700"
"Mar 05, 2018",1.59,1.64,1.59,1.62,"221,910","39,445,500"
"Mar 04, 2018",1.57,1.59,1.54,1.59,"215,901","38,973,200"
"Mar 03, 2018",1.56,1.60,1.56,1.58,"176,345","38,663,500"
"Mar 02, 2018",1.61,1.63,1.54,1.56,"165,312","39,882,500"
"Mar 01, 2018",1.51,1.64,1.50,1.61,"215,165","37,420,600"
"Feb 28, 2018",1.55,1.58,1.51,1.51,"169,914","38,076,900"
"Feb 27, 2018",1.52,1.58,1.50,1.55,"170,372","37,140,900"
"Feb 26, 2018",1.40,1.66,1.38,1.51,"78,669","34,300,800"
"Feb 25, 2018",1.45,1.47,1.39,1.40,"146,602","35,454,400"
"Feb 24, 2018",1.52,1.53,1.42,1.45,"158,350","37,318,200"
"Feb 23, 2018",1.54,1.63,1.52,1.52,"122,552","37,742,100"
"Feb 22, 2018",1.64,1.69,1.52,1.54,"160,563","40,092,000"
"Feb 21, 2018",1.79,1.80,1.61,1.64,"182,308","43,786,700"
"Feb 20, 2018",1.90,1.95,1.78,1.79,"178,676","46,571,100"
"Feb 19, 2018",1.81,1.91,1.80,1.90,"188,957","44,387,900"
"Feb 18, 2018",1.92,1.94,1.81,1.82,"166,432","46,918,200"
"Feb 17, 2018",1.77,1.92,1.75,1.91,"188,894","43,191,100"
"Feb 16, 2018",1.74,1.77,1.65,1.76,"62,683","42,527,400"
"Feb 15, 2018",1.66,1.74,1.64,1.74,"111,128","40,515,100"
"Feb 14, 2018",1.62,1.68,1.59,1.66,"138,323","39,637,800"
"Feb 13, 2018",1.67,1.67,1.59,1.62,"186,821","40,737,400"
"Feb 12, 2018",1.59,1.70,1.59,1.66,"149,814","39,016,200"
"Feb 11, 2018",1.79,1.79,1.59,1.59,"79,170","43,846,300"
"Feb 10, 2018",1.85,1.91,1.73,1.79,"84,970","45,355,600"
"Feb 09, 2018",1.75,1.86,1.66,1.85,"117,137","42,738,700"
"Feb 08, 2018",1.61,1.79,1.61,1.75,"58,396","39,450,700"
"Feb 07, 2018",1.60,1.77,1.49,1.62,"11,318","39,133,600"
"Feb 06, 2018",1.46,1.62,1.32,1.61,"73,871","35,753,900"
"Feb 05, 2018",2.17,2.20,1.33,1.46,"67,383","52,968,900"
"Feb 04, 2018",2.56,2.56,2.10,2.19,"35,104","62,682,400"
"Feb 03, 2018",2.70,2.71,2.16,2.56,"35,905","66,015,500"
"Feb 02, 2018",2.41,2.73,2.06,2.69,"68,777","58,983,200"
"Feb 01, 2018",2.88,2.99,2.35,2.42,"101,391","70,422,600"
"Jan 31, 2018",2.73,2.91,2.67,2.88,"187,749","66,797,000"
"Jan 30, 2018",3.12,3.12,2.59,2.72,"224,352","76,230,000"
"Jan 29, 2018",3.19,3.21,2.99,3.12,"47,012","78,033,900"
"Jan 28, 2018",3.04,3.23,3.01,3.20,"67,828","74,283,400"
"Jan 27, 2018",2.72,3.05,2.69,3.02,"64,240","66,380,600"
"Jan 26, 2018",2.69,2.80,2.60,2.72,"37,346","65,565,100"
"Jan 25, 2018",2.69,2.78,2.63,2.69,"60,520","65,596,500"
"Jan 24, 2018",2.40,2.66,2.34,2.65,"87,510","58,515,200"
"Jan 23, 2018",2.25,2.53,2.10,2.40,"133,109","54,979,500"
"Jan 22, 2018",2.68,2.86,2.13,2.26,"152,657","65,426,500"
"Jan 21, 2018",3.14,3.14,2.61,2.66,"87,176","76,681,500"
"Jan 20, 2018",2.27,3.16,2.27,3.14,"195,561","55,412,700"
"Jan 19, 2018",2.60,2.69,2.23,2.26,"124,360","63,409,500"
"Jan 18, 2018",2.69,2.83,2.49,2.62,"84,399","65,461,800"
"Jan 17, 2018",2.52,2.73,2.14,2.67,"72,010","59,498,100"
"Jan 16, 2018",3.44,3.45,2.21,2.53,"141,660","81,431,900"
"Jan 15, 2018",3.68,4.11,3.44,3.44,"132,049","86,935,600"
"Jan 14, 2018",3.76,3.95,3.42,3.67,"254,199","88,943,000"
"Jan 13, 2018",4.09,4.14,3.72,3.76,"190,077","96,709,100"
"Jan 12, 2018",3.65,4.24,3.53,4.13,"276,051","86,316,300"
"Jan 11, 2018",3.80,4.30,3.59,3.62,"325,562","89,873,900"
"Jan 10, 2018",3.65,3.98,3.47,3.81,"328,529","86,387,400"
"Jan 09, 2018",3.13,3.66,3.09,3.64,"317,122","73,969,700"
"Jan 08, 2018",3.53,3.69,3.08,3.14,"238,021","83,435,200"
"Jan 07, 2018",3.68,4.19,3.39,3.52,"396,974","87,122,000"
"Jan 06, 2018",3.34,3.58,3.03,3.58,"323,912","78,868,400"
"Jan 05, 2018",2.73,3.95,2.64,3.33,"755,152","64,646,700"
"Jan 04, 2018",2.44,2.77,2.36,2.74,"382,911","57,698,300"
"Jan 03, 2018",1.85,2.46,1.84,2.42,"477,789","43,628,200"
"Jan 02, 2018",1.51,1.87,1.51,1.85,"437,308","35,654,000"
"Jan 01, 2018",1.47,1.56,1.40,1.51,"199,794","34,816,200"
"Dec 31, 2017",1.21,1.48,1.20,1.47,"229,408","28,635,900"
"Dec 30, 2017",1.08,1.25,1.08,1.22,"293,219","25,502,300"
"Dec 29, 2017",0.931722,1.08,0.928524,1.08,"193,091","22,029,700"
"Dec 28, 2017",1.01,1.02,0.879076,0.925901,"121,057","23,977,900"
"Dec 27, 2017",1.04,1.08,0.966400,1.02,"128,727","24,622,700"
"Dec 26, 2017",1.05,1.06,1.03,1.04,"135,161","24,887,900"
"Dec 25, 2017",0.881404,1.09,0.874960,1.05,"169,777","20,840,000"
"Dec 24, 2017",0.874228,0.875551,0.784846,0.875551,"119,605","20,670,300"
"Dec 23, 2017",0.705409,0.924118,0.693771,0.868042,"144,282","16,678,700"
"Dec 22, 2017",0.859965,0.869209,0.585261,0.697486,"157,523","20,333,100"
"Dec 21, 2017",0.925495,0.958033,0.808464,0.853735,"416,734","21,882,500"
"Dec 20, 2017",1.00,1.00,0.888977,0.922888,"300,662","23,677,100"
"Dec 19, 2017",1.04,1.07,0.977899,1.00,"242,028","24,665,400"
"Dec 18, 2017",0.917633,1.05,0.870510,1.05,"188,050","21,696,600"
"Dec 17, 2017",0.928703,0.939802,0.894331,0.917205,"137,481","21,958,300"
"Dec 16, 2017",0.950421,1.02,0.855704,0.925347,"133,955","22,471,800"
"Dec 15, 2017",1.11,1.11,0.936239,0.948964,"145,496","26,208,900"
"Dec 14, 2017",1.22,1.31,1.08,1.11,"149,581","28,875,500"
"Dec 13, 2017",1.10,1.67,1.04,1.22,"254,336","25,940,300"
