Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.196714,0.201044,0.185448,0.188247,"195,714","16,580,100"
"Mar 23, 2018",0.191298,0.195594,0.180947,0.195594,"198,822","16,123,700"
"Mar 22, 2018",0.197376,0.205395,0.187296,0.191068,"107,461","16,636,000"
"Mar 21, 2018",0.198290,0.213855,0.195200,0.197670,"152,125","16,713,000"
"Mar 20, 2018",0.196844,0.202260,0.186362,0.197823,"114,108","16,591,100"
"Mar 19, 2018",0.190602,0.201743,0.181096,0.195346,"222,378","16,065,000"
"Mar 18, 2018",0.202175,0.202175,0.166361,0.191082,"357,094","17,040,400"
"Mar 17, 2018",0.215987,0.221073,0.197004,0.202550,"133,982","18,204,600"
"Mar 16, 2018",0.210129,0.223522,0.204342,0.215739,"155,982","17,710,800"
"Mar 15, 2018",0.212346,0.223320,0.192205,0.210234,"375,203","17,897,700"
"Mar 14, 2018",0.235387,0.246139,0.205696,0.212363,"245,097","19,839,700"
"Mar 13, 2018",0.228290,0.241088,0.224264,0.235340,"95,239","19,241,600"
"Mar 12, 2018",0.245044,0.246286,0.222784,0.229100,"342,317","20,653,700"
"Mar 11, 2018",0.233510,0.253000,0.226628,0.245462,"177,668","19,681,500"
"Mar 10, 2018",0.246236,0.258139,0.231115,0.234155,"261,088","20,754,200"
"Mar 09, 2018",0.245696,0.249365,0.221458,0.243257,"336,922","20,708,600"
"Mar 08, 2018",0.258138,0.277288,0.240625,0.246188,"377,214","21,757,300"
"Mar 07, 2018",0.266807,0.276335,0.250792,0.258391,"474,216","22,488,000"
"Mar 06, 2018",0.291480,0.291480,0.264868,0.267316,"1,092,910","24,567,500"
"Mar 05, 2018",0.302521,0.302521,0.274291,0.291752,"247,016","25,498,100"
"Mar 04, 2018",0.304037,0.306314,0.284769,0.302620,"470,031","25,625,900"
"Mar 03, 2018",0.315571,0.320214,0.289782,0.304297,"388,396","26,598,100"
"Mar 02, 2018",0.295307,0.354405,0.294315,0.314333,"610,850","24,890,100"
"Mar 01, 2018",0.275337,0.306271,0.268384,0.295469,"546,065","23,206,900"
"Feb 28, 2018",0.274390,0.282257,0.267204,0.275220,"494,640","23,127,100"
"Feb 27, 2018",0.272586,0.283489,0.266006,0.274461,"671,382","22,975,000"
"Feb 26, 2018",0.281894,0.283367,0.256892,0.271714,"619,541","23,759,600"
"Feb 25, 2018",0.296749,0.301684,0.268995,0.282377,"383,657","25,011,600"
"Feb 24, 2018",0.310808,0.322147,0.286526,0.296662,"312,284","26,196,600"
"Feb 23, 2018",0.308746,0.320665,0.300637,0.311025,"304,242","26,022,800"
"Feb 22, 2018",0.317887,0.337454,0.296245,0.308917,"720,432","26,793,300"
"Feb 21, 2018",0.344313,0.346406,0.314444,0.318527,"258,653","29,020,600"
"Feb 20, 2018",0.372154,0.379131,0.344094,0.345651,"336,560","31,367,200"
"Feb 19, 2018",0.364974,0.387807,0.361357,0.371639,"375,371","30,762,000"
"Feb 18, 2018",0.387818,0.395554,0.362855,0.365779,"374,421","32,687,400"
"Feb 17, 2018",0.383519,0.397176,0.375190,0.387397,"663,991","32,325,100"
"Feb 16, 2018",0.375753,0.385982,0.335740,0.383377,"504,273","31,670,500"
"Feb 15, 2018",0.381327,0.385942,0.359435,0.376586,"572,164","32,140,400"
"Feb 14, 2018",0.339880,0.382792,0.337190,0.382043,"706,441","28,647,000"
"Feb 13, 2018",0.350015,0.352400,0.330190,0.340301,"418,050","29,501,200"
"Feb 12, 2018",0.330771,0.361256,0.330771,0.349572,"304,911","27,879,200"
"Feb 11, 2018",0.361343,0.361343,0.315873,0.329620,"232,396","30,456,000"
"Feb 10, 2018",0.368347,0.383288,0.340819,0.361592,"539,800","31,046,300"
"Feb 09, 2018",0.353647,0.368820,0.323909,0.368521,"556,723","29,807,300"
"Feb 08, 2018",0.331922,0.388840,0.315749,0.352531,"983,419","27,976,200"
"Feb 07, 2018",0.367280,0.399433,0.331890,0.331890,"540,586","30,956,400"
"Feb 06, 2018",0.313662,0.376896,0.243587,0.366077,"1,546,070","26,437,200"
"Feb 05, 2018",0.406140,0.420399,0.288428,0.312545,"1,042,020","34,231,700"
"Feb 04, 2018",0.516817,0.519122,0.404975,0.417455,"1,448,380","43,560,200"
"Feb 03, 2018",0.511096,0.534204,0.464402,0.516705,"1,089,850","43,078,000"
"Feb 02, 2018",0.538257,0.538874,0.439656,0.519253,"19,755,500","45,367,300"
"Feb 01, 2018",0.630338,0.674290,0.515544,0.542710,"34,723,300","53,128,400"
"Jan 31, 2018",0.583593,0.682080,0.536053,0.628472,"57,907,300","49,188,400"
"Jan 30, 2018",0.675640,0.675640,0.556852,0.582479,"24,767,600","56,946,700"
"Jan 29, 2018",0.725229,0.727558,0.657739,0.674760,"12,717,800","61,126,300"
"Jan 28, 2018",0.683065,0.726905,0.677179,0.722750,"15,919,500","57,572,500"
"Jan 27, 2018",0.669622,0.696825,0.647742,0.679854,"12,912,800","56,439,400"
"Jan 26, 2018",0.667629,0.674272,0.609704,0.658631,"6,004,920","56,271,500"
"Jan 25, 2018",0.649000,0.700462,0.625355,0.671932,"3,331,880","54,701,300"
"Jan 24, 2018",0.661934,0.681096,0.588548,0.634858,"2,686,690","55,791,500"
"Jan 23, 2018",0.594537,0.688192,0.540154,0.662726,"4,327,720","50,110,800"
"Jan 22, 2018",0.664753,0.716775,0.570272,0.595383,"1,796,800","56,029,100"
"Jan 21, 2018",0.788452,0.799228,0.638307,0.660526,"1,553,840","66,455,100"
"Jan 20, 2018",0.748615,0.846830,0.725395,0.787448,"4,341,340","63,097,400"
"Jan 19, 2018",0.718419,0.785269,0.623757,0.744249,"1,926,710","60,552,300"
"Jan 18, 2018",0.785738,0.852727,0.671593,0.722767,"1,776,960","66,226,400"
"Jan 17, 2018",0.859905,0.878768,0.570160,0.792690,"2,044,500",-
"Jan 16, 2018",1.19,1.21,0.655407,0.870596,"3,788,360",-
"Jan 15, 2018",1.38,1.42,1.09,1.17,"3,677,930",-
"Jan 14, 2018",1.67,1.74,1.18,1.39,"7,213,090",-
"Jan 13, 2018",1.17,1.70,1.17,1.68,"12,086,100",-
"Jan 12, 2018",1.10,1.44,1.10,1.15,"5,895,130",-
