Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.112599,0.112599,0.101166,0.108485,"318,344","37,532,800"
"Mar 22, 2018",0.118300,0.119519,0.102835,0.112419,"382,665","39,433,400"
"Mar 21, 2018",0.110809,0.121473,0.109535,0.118089,"747,386","36,936,400"
"Mar 20, 2018",0.100295,0.113916,0.095839,0.110558,"1,279,530","33,431,600"
"Mar 19, 2018",0.093760,0.099043,0.090409,0.098888,"2,145,470","31,253,300"
"Mar 18, 2018",0.094795,0.094795,0.076496,0.093655,"1,164,430","31,598,300"
"Mar 17, 2018",0.102546,0.103651,0.092536,0.094839,"632,864","34,181,900"
"Mar 16, 2018",0.099369,0.106897,0.096780,0.101783,"1,240,640","33,123,100"
"Mar 15, 2018",0.100710,0.111355,0.091708,0.099219,"1,856,180","33,569,900"
"Mar 14, 2018",0.111116,0.115484,0.098837,0.100731,"2,877,700","37,038,600"
"Mar 13, 2018",0.104922,0.113275,0.104476,0.110833,"2,189,490","34,974,000"
"Mar 12, 2018",0.112940,0.117634,0.103184,0.105476,"4,694,520","37,646,600"
"Mar 11, 2018",0.105139,0.117980,0.102172,0.114891,"3,831,930","35,046,400"
"Mar 10, 2018",0.114532,0.117492,0.105070,0.105779,"3,814,070","38,177,500"
"Mar 09, 2018",0.111356,0.115698,0.097108,0.113902,"1,732,810","37,118,600"
"Mar 08, 2018",0.126823,0.130413,0.110116,0.111596,"1,172,330","42,274,200"
"Mar 07, 2018",0.138613,0.142183,0.115618,0.127977,"1,715,040","46,204,400"
"Mar 06, 2018",0.141849,0.158745,0.135492,0.140177,"2,506,500","47,283,100"
"Mar 05, 2018",0.162534,0.162534,0.140965,0.141374,"3,324,860","54,178,100"
"Mar 04, 2018",0.160672,0.170217,0.146391,0.161974,"3,433,120","53,557,200"
"Mar 03, 2018",0.166579,0.174615,0.151945,0.160193,"2,569,520","55,526,400"
"Mar 02, 2018",0.177715,0.186687,0.160637,0.166728,"3,007,050","59,238,200"
"Mar 01, 2018",0.145228,0.179070,0.141418,0.177614,"3,775,640","48,409,300"
"Feb 28, 2018",0.147637,0.151913,0.143248,0.146252,"2,725,480","49,212,300"
"Feb 27, 2018",0.147369,0.156038,0.144817,0.147657,"2,230,280","49,122,900"
"Feb 26, 2018",0.148646,0.157771,0.141549,0.146922,"2,632,010","49,548,600"
"Feb 25, 2018",0.155811,0.163874,0.144500,0.148520,"2,346,900","51,937,100"
"Feb 24, 2018",0.170007,0.176136,0.151309,0.155949,"4,444,620","56,668,900"
"Feb 23, 2018",0.164267,0.181006,0.160514,0.170031,"3,997,660","54,755,600"
"Feb 22, 2018",0.174852,0.187575,0.161752,0.164184,"4,099,740","58,284,000"
