Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",1.01,1.02,0.986757,0.994400,"3,017,020","7,971,500"
"Mar 29, 2018",1.00,1.01,0.978259,1.01,"2,985,780","7,934,340"
"Mar 28, 2018",0.992560,1.02,0.986810,1.00,"951,963","7,865,160"
"Mar 27, 2018",0.998520,1.02,0.989418,0.999424,"2,200,920","7,912,390"
"Mar 26, 2018",0.994993,1.01,0.982498,1.00,"2,587,900","7,884,440"
"Mar 25, 2018",0.990601,1.01,0.987590,0.995833,"825,428","7,849,640"
"Mar 24, 2018",1.00,1.01,0.987376,0.998900,"967,029","6,606,980"
"Mar 23, 2018",0.994568,1.02,0.983414,0.993550,"2,202,750","6,543,810"
"Mar 22, 2018",0.997249,1.02,0.988877,1.01,"2,908,660","6,561,450"
"Mar 21, 2018",1.00,1.02,0.983160,0.998930,"1,219,640","6,598,050"
"Mar 20, 2018",1.01,1.01,0.984926,1.00,"1,785,010","6,662,480"
"Mar 19, 2018",0.969450,1.01,0.969450,1.00,"2,291,760","6,378,550"
"Mar 18, 2018",0.998281,1.03,0.967203,0.990219,"3,493,100","6,568,240"
"Mar 17, 2018",0.994332,1.02,0.983175,1.00,"1,321,340","6,542,250"
"Mar 16, 2018",0.995402,1.02,0.984458,0.988581,"902,615","6,549,300"
"Mar 15, 2018",1.01,1.02,0.984372,0.991831,"2,610,810","6,615,990"
"Mar 14, 2018",1.00,1.02,0.979409,0.996195,"1,888,930","6,584,590"
"Mar 13, 2018",0.986493,1.02,0.983437,1.00,"1,210,120","6,473,290"
"Mar 12, 2018",1.01,1.01,0.981815,0.992190,"1,398,700",-
"Mar 11, 2018",1.00,1.03,0.980313,1.00,"2,099,980",-
"Mar 10, 2018",0.984210,1.02,0.978873,1.00,"1,606,990",-
"Mar 09, 2018",1.01,1.02,0.980459,0.995281,"5,316,350",-
"Mar 08, 2018",1.00,1.02,0.982284,1.02,"2,401,910",-
"Mar 07, 2018",0.994246,1.03,0.979871,1.00,"6,274,620",-
"Mar 06, 2018",0.998462,1.02,0.989891,1.01,"10,643,500",-
