Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.022843,0.026618,0.020205,0.023837,"256,999","42,137,200"
"Mar 05, 2018",0.026059,0.030053,0.021351,0.022869,"56,753","48,070,500"
"Mar 04, 2018",0.031891,0.032246,0.025757,0.027574,"38,081","58,827,700"
"Mar 03, 2018",0.033769,0.035744,0.030419,0.031850,"41,043","62,292,200"
"Mar 02, 2018",0.023905,0.036096,0.022852,0.033523,"63,730","44,096,200"
"Mar 01, 2018",0.028622,0.032373,0.021749,0.023933,"74,885","52,797,500"
"Feb 28, 2018",0.032413,0.035672,0.028510,0.028529,"47,518","59,791,700"
"Feb 27, 2018",0.038556,0.051153,0.031817,0.032440,"150,100","71,123,700"
"Feb 26, 2018",0.044250,0.047246,0.033135,0.037491,"210,532","81,627,200"
"Feb 25, 2018",0.046610,0.051019,0.044228,0.044228,"87,560","85,980,400"
"Feb 24, 2018",0.052710,0.059700,0.044797,0.046834,"95,692","97,233,700"
"Feb 23, 2018",0.055542,0.060903,0.051677,0.052806,"131,229","102,458,000"
"Feb 22, 2018",0.064646,0.072762,0.054064,0.054338,"101,636","95,383,900"
"Feb 21, 2018",0.064622,0.079755,0.060289,0.064172,"144,867","95,348,900"
"Feb 20, 2018",0.081037,0.085027,0.064210,0.064676,"294,398","119,570,000"
"Feb 19, 2018",0.089608,0.100705,0.074789,0.074789,"292,489","132,216,000"
"Feb 18, 2018",0.127681,0.134585,0.081174,0.084574,"1,138,630","188,391,000"
"Feb 17, 2018",0.055793,0.128663,0.055793,0.128663,"1,896,890","482,326,000"
"Feb 16, 2018",0.033278,0.072825,0.031910,0.055915,"310,567","287,644,000"
"Feb 15, 2018",0.062079,0.069418,0.028699,0.034424,"164,354","536,451,000"
"Feb 14, 2018",0.059323,0.108834,0.043798,0.062878,"545,878","512,271,000"
"Feb 13, 2018",0.175109,0.192210,0.063685,0.064233,"540,700","1,511,940,000"
"Feb 12, 2018",0.208121,0.223078,0.061429,0.173990,"3,199,390","1,795,770,000"
"Feb 11, 2018",0.019063,0.241182,0.006097,0.206966,"2,441,640","164,132,000"
"Feb 10, 2018",0.008830,0.021099,0.004894,0.017631,"159,130",-
"Feb 09, 2018",0.003737,0.014564,0.003719,0.008837,"109,707",-
