Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.909062,0.909062,0.823944,0.887724,"42,100","12,091,000"
"Mar 22, 2018",0.834650,0.923856,0.821030,0.890708,"50,905","11,093,700"
"Mar 21, 2018",0.866764,0.883707,0.798794,0.836207,"60,320","11,511,800"
"Mar 20, 2018",0.816213,0.912784,0.777537,0.867643,"57,841","10,832,800"
"Mar 19, 2018",0.810059,0.893873,0.750152,0.807208,"71,046","10,743,200"
"Mar 18, 2018",0.737805,0.818128,0.665947,0.813502,"25,435","9,777,700"
"Mar 17, 2018",0.750801,0.802185,0.605201,0.732220,"33,668","9,942,760"
"Mar 16, 2018",0.867179,0.918514,0.683418,0.749264,"41,572","11,476,800"
"Mar 15, 2018",0.889515,0.937831,0.780365,0.867668,"42,420","11,765,100"
"Mar 14, 2018",0.994640,1.07,0.865541,0.889914,"34,673","13,147,300"
"Mar 13, 2018",1.01,1.10,0.961373,0.994510,"70,319","13,345,800"
"Mar 12, 2018",1.03,1.09,0.970831,1.01,"33,497","13,532,800"
"Mar 11, 2018",0.998742,1.07,0.899799,1.03,"17,410","13,175,600"
"Mar 10, 2018",1.04,1.05,0.912861,0.972994,"27,892","13,759,400"
"Mar 09, 2018",1.06,1.10,0.932621,1.04,"44,079","14,018,500"
"Mar 08, 2018",1.10,1.20,1.03,1.07,"27,322","14,539,200"
"Mar 07, 2018",1.31,1.33,1.06,1.11,"36,376","17,186,000"
"Mar 06, 2018",1.29,1.38,1.22,1.30,"28,414","17,012,500"
"Mar 05, 2018",1.41,1.48,1.28,1.28,"47,607","18,487,600"
"Mar 04, 2018",1.46,1.46,1.26,1.39,"38,489","19,115,400"
"Mar 03, 2018",1.45,1.54,1.30,1.45,"33,528","19,084,100"
"Mar 02, 2018",1.42,1.53,1.38,1.46,"45,913","18,689,600"
"Mar 01, 2018",1.37,1.63,1.37,1.43,"34,957","18,024,300"
"Feb 28, 2018",1.47,1.51,1.37,1.37,"28,419","19,221,200"
"Feb 27, 2018",1.44,1.49,1.38,1.47,"24,702","18,844,000"
"Feb 26, 2018",1.33,1.45,1.27,1.44,"22,712","17,390,200"
"Feb 25, 2018",1.32,1.40,1.27,1.33,"35,829","17,197,700"
"Feb 24, 2018",1.34,1.45,1.25,1.32,"28,671","17,509,900"
"Feb 23, 2018",1.25,1.42,1.21,1.33,"23,490","16,268,200"
"Feb 22, 2018",1.36,1.66,1.24,1.24,"43,628","17,746,900"
