Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",2.06,2.12,1.92,1.95,"15,988","20,603,800"
"Mar 20, 2018",2.02,2.11,1.93,2.06,"47,079","20,194,500"
"Mar 19, 2018",1.92,2.04,1.82,2.00,"58,800","19,200,400"
"Mar 18, 2018",1.83,1.94,1.62,1.93,"53,238","18,313,200"
"Mar 17, 2018",1.98,1.98,1.77,1.84,"14,782","19,783,300"
"Mar 16, 2018",1.98,2.04,1.89,1.98,"21,020","19,790,900"
"Mar 15, 2018",1.99,2.00,1.79,1.98,"50,911","19,880,400"
"Mar 14, 2018",2.14,2.19,1.87,1.99,"66,210","21,356,300"
"Mar 13, 2018",2.06,2.20,1.98,2.14,"42,117","20,623,400"
"Mar 12, 2018",2.30,2.33,1.93,2.07,"81,763","22,980,400"
"Mar 11, 2018",2.07,2.34,2.02,2.30,"41,543","20,678,900"
"Mar 10, 2018",2.22,2.26,2.07,2.07,"10,877","22,163,100"
"Mar 09, 2018",2.18,2.26,1.98,2.22,"60,498","21,847,300"
"Mar 08, 2018",2.34,2.40,2.14,2.20,"59,019","23,381,800"
"Mar 07, 2018",2.48,2.58,2.23,2.34,"149,285","24,814,600"
"Mar 06, 2018",2.66,2.68,2.46,2.48,"50,976","26,595,000"
"Mar 05, 2018",2.65,2.75,2.31,2.66,"234,868","26,461,200"
"Mar 04, 2018",2.70,2.71,2.06,2.61,"168,357","26,955,100"
"Mar 03, 2018",2.63,2.70,2.44,2.70,"142,943","26,276,700"
"Mar 02, 2018",2.67,2.72,2.57,2.62,"51,006","26,715,300"
"Mar 01, 2018",2.54,2.69,2.46,2.68,"67,637","25,357,100"
"Feb 28, 2018",2.61,2.69,2.47,2.53,"110,923","26,093,000"
"Feb 27, 2018",2.63,2.67,2.52,2.61,"136,863","26,284,900"
"Feb 26, 2018",2.30,2.65,2.14,2.62,"84,769","23,001,600"
"Feb 25, 2018",2.38,2.42,2.22,2.30,"33,658","23,829,800"
"Feb 24, 2018",2.56,2.65,2.32,2.39,"37,332","25,589,200"
"Feb 23, 2018",2.43,2.59,2.31,2.56,"43,667","24,290,400"
"Feb 22, 2018",2.66,2.70,2.35,2.47,"50,568","26,594,300"
"Feb 21, 2018",2.67,2.72,2.48,2.66,"88,239","26,662,100"
"Feb 20, 2018",2.83,2.88,2.66,2.67,"97,057","28,255,300"
"Feb 19, 2018",2.56,2.97,2.50,2.87,"113,879","25,603,400"
"Feb 18, 2018",2.64,2.71,2.45,2.57,"97,351","26,426,600"
"Feb 17, 2018",2.52,2.61,2.42,2.61,"86,116","25,196,100"
"Feb 16, 2018",2.38,2.54,2.26,2.54,"72,685","23,821,000"
"Feb 15, 2018",2.15,2.44,2.02,2.39,"98,600","21,545,300"
"Feb 14, 2018",2.02,2.25,1.97,2.14,"81,548","20,208,400"
"Feb 13, 2018",2.13,2.14,1.93,2.03,"75,594","21,338,700"
"Feb 12, 2018",1.93,2.33,1.85,2.13,"119,867","19,290,200"
"Feb 11, 2018",1.94,2.00,1.73,1.96,"99,945","19,376,600"
"Feb 10, 2018",1.97,2.14,1.77,1.94,"135,766","19,706,000"
"Feb 09, 2018",1.78,2.12,1.62,2.07,"120,169","17,780,200"
"Feb 08, 2018",1.85,2.94,1.48,1.77,"111,232","18,494,000"
"Feb 07, 2018",1.97,2.40,1.74,1.91,"198,434","19,660,300"
"Feb 06, 2018",1.34,2.11,1.15,1.89,"202,994","13,405,300"
"Feb 05, 2018",1.57,1.60,1.23,1.48,"125,519","15,688,400"
"Feb 04, 2018",1.74,1.74,1.45,1.58,"115,553","17,386,800"
"Feb 03, 2018",1.62,1.74,1.45,1.74,"115,866","16,192,500"
"Feb 02, 2018",1.64,1.64,1.35,1.61,"119,582","16,396,600"
"Feb 01, 2018",1.86,1.86,1.53,1.64,"186,256","18,600,400"
"Jan 31, 2018",1.87,1.88,1.74,1.86,"112,042","18,659,200"
"Jan 30, 2018",2.03,2.03,1.79,1.86,"172,939","20,312,600"
"Jan 29, 2018",2.10,2.11,1.88,2.03,"255,843","20,986,000"
"Jan 28, 2018",2.03,2.11,1.92,2.10,"240,154","20,348,700"
"Jan 27, 2018",1.99,2.08,1.86,2.08,"144,776","19,924,600"
"Jan 26, 2018",1.94,2.04,1.76,1.99,"208,643","19,376,600"
"Jan 25, 2018",2.04,2.11,1.84,1.96,"356,074","20,435,900"
"Jan 24, 2018",1.97,2.09,1.72,2.01,"355,825","19,745,200"
"Jan 23, 2018",2.13,2.15,1.58,1.98,"283,211","21,347,800"
"Jan 22, 2018",1.69,2.10,1.49,2.09,"340,504","16,868,200"
"Jan 21, 2018",1.91,1.91,1.48,1.67,"172,421","19,109,800"
"Jan 20, 2018",1.65,2.00,1.55,1.91,"195,127","16,507,800"
"Jan 19, 2018",1.74,1.77,1.54,1.64,"131,095",-
"Jan 18, 2018",1.61,1.85,1.16,1.72,"447,315",-
"Jan 17, 2018",1.59,1.62,1.06,1.60,"256,768",-
"Jan 16, 2018",2.07,2.07,1.51,1.60,"138,893",-
"Jan 15, 2018",2.14,2.17,1.94,2.08,"227,538",-
"Jan 14, 2018",2.26,2.34,1.99,2.15,"281,736",-
"Jan 13, 2018",1.97,2.15,1.81,2.15,"239,743",-
"Jan 12, 2018",2.01,2.06,1.75,1.97,"191,098",-
"Jan 11, 2018",2.38,2.39,1.79,2.00,"254,655",-
"Jan 10, 2018",2.06,2.44,1.74,2.35,"371,155",-
"Jan 09, 2018",1.91,2.11,1.72,2.06,"315,828",-
