Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",143.38,147.67,117.59,123.92,"432,812","292,005,000"
"Mar 28, 2018",152.73,157.86,129.59,143.25,"565,274","311,059,000"
"Mar 27, 2018",181.79,184.27,153.57,153.57,"355,698","370,245,000"
"Mar 26, 2018",196.62,198.62,157.60,181.51,"421,034","400,446,000"
"Mar 25, 2018",209.01,212.59,196.41,196.41,"707,846","425,685,000"
"Mar 24, 2018",222.85,225.09,186.84,210.88,"1,048,130","453,858,000"
"Mar 23, 2018",121.33,222.94,121.33,220.75,"1,470,850","247,105,000"
"Mar 22, 2018",107.60,124.96,100.87,121.98,"497,690","219,142,000"
"Mar 21, 2018",108.59,116.53,101.33,107.55,"358,308","221,153,000"
"Mar 20, 2018",108.77,112.22,101.75,108.33,"379,951","221,522,000"
"Mar 19, 2018",104.55,112.16,100.08,107.93,"424,318","212,923,000"
"Mar 18, 2018",105.10,106.14,84.83,104.83,"357,301","214,048,000"
"Mar 17, 2018",115.67,120.19,103.54,105.33,"246,461","235,579,000"
"Mar 16, 2018",127.51,133.06,114.39,114.48,"474,925","259,699,000"
"Mar 15, 2018",133.63,137.55,114.90,127.65,"841,965","272,167,000"
"Mar 14, 2018",152.43,162.71,119.81,133.65,"670,116","310,452,000"
"Mar 13, 2018",159.25,161.75,147.77,152.46,"389,270","324,345,000"
"Mar 12, 2018",175.33,176.46,151.27,159.46,"609,605","357,085,000"
"Mar 11, 2018",160.15,175.61,151.65,175.60,"792,959","326,165,000"
"Mar 10, 2018",176.05,192.37,155.92,160.77,"432,756","358,557,000"
"Mar 09, 2018",162.07,181.37,154.10,176.11,"714,730","330,077,000"
"Mar 08, 2018",173.07,195.43,164.30,168.90,"521,059","352,491,000"
"Mar 07, 2018",192.78,206.85,168.90,173.34,"1,106,170","392,624,000"
"Mar 06, 2018",202.71,208.79,179.32,192.74,"812,972","412,837,000"
"Mar 05, 2018",214.68,226.63,191.30,203.08,"868,874","437,227,000"
"Mar 04, 2018",229.97,239.13,212.59,214.69,"486,390","468,371,000"
"Mar 03, 2018",207.72,245.66,206.72,226.20,"447,399","423,046,000"
"Mar 02, 2018",222.07,228.59,196.46,210.25,"590,505","452,281,000"
"Mar 01, 2018",214.91,228.30,209.29,221.37,"320,215","437,703,000"
"Feb 28, 2018",250.33,250.33,213.05,214.84,"242,228","509,828,000"
"Feb 27, 2018",242.98,263.21,234.29,248.30,"161,252","494,864,000"
"Feb 26, 2018",232.51,260.89,231.54,242.32,"372,012","473,535,000"
"Feb 25, 2018",223.07,242.35,218.64,232.35,"167,015","454,322,000"
"Feb 24, 2018",225.05,242.11,213.39,222.94,"244,051","458,354,000"
"Feb 23, 2018",230.65,248.77,212.08,227.06,"422,672","469,752,000"
"Feb 22, 2018",248.70,265.28,210.33,231.61,"408,549","506,522,000"
"Feb 21, 2018",270.94,275.11,248.03,249.05,"425,252","551,814,000"
"Feb 20, 2018",263.11,305.52,260.70,270.69,"441,466","535,859,000"
"Feb 19, 2018",273.01,290.36,255.37,262.99,"281,660","556,030,000"
"Feb 18, 2018",303.96,303.96,254.97,273.46,"362,683","619,052,000"
"Feb 17, 2018",288.25,304.73,278.53,303.49,"215,053","587,059,000"
"Feb 16, 2018",297.61,314.83,259.42,286.60,"375,869","606,132,000"
"Feb 15, 2018",310.38,316.15,285.92,298.29,"284,007","632,144,000"
"Feb 14, 2018",256.77,310.04,255.03,309.72,"222,206","522,951,000"
"Feb 13, 2018",261.96,278.88,242.79,257.47,"157,123","533,522,000"
"Feb 12, 2018",273.33,286.97,261.57,272.81,"133,613","556,682,000"
"Feb 11, 2018",278.61,283.20,253.79,272.00,"132,946","567,436,000"
"Feb 10, 2018",287.30,302.45,265.02,278.96,"134,022","585,134,000"
"Feb 09, 2018",279.02,295.11,261.02,287.27,"143,917","568,265,000"
"Feb 08, 2018",267.84,310.06,267.84,278.58,"492,661","545,495,000"
"Feb 07, 2018",274.41,309.04,258.40,268.49,"552,699","558,882,000"
"Feb 06, 2018",245.50,274.87,196.37,273.46,"1,020,650","499,996,000"
"Feb 05, 2018",308.00,315.85,220.77,244.83,"555,309","627,295,000"
"Feb 04, 2018",350.97,362.76,293.83,311.38,"462,325","714,802,000"
"Feb 03, 2018",332.70,363.24,317.32,351.01,"735,091","677,584,000"
"Feb 02, 2018",352.07,360.68,251.46,331.96,"861,162","717,050,000"
"Feb 01, 2018",404.99,435.80,326.54,353.22,"553,054","824,815,000"
