Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",2.62,2.72,2.35,2.43,"2,692,940","113,980,000"
"Mar 22, 2018",2.32,2.62,2.31,2.60,"3,142,730","100,726,000"
"Mar 21, 2018",2.30,2.49,2.29,2.33,"2,781,720","99,900,100"
"Mar 20, 2018",2.10,2.35,2.01,2.29,"2,043,110","91,352,200"
"Mar 19, 2018",1.89,2.11,1.87,2.07,"1,764,940","82,193,800"
"Mar 18, 2018",2.02,2.02,1.70,1.90,"1,356,610","87,544,900"
"Mar 17, 2018",2.20,2.23,1.97,2.03,"789,191","95,333,900"
"Mar 16, 2018",2.13,2.24,2.03,2.20,"669,594","92,409,600"
"Mar 15, 2018",2.19,2.27,1.98,2.12,"1,257,770","94,938,800"
"Mar 14, 2018",2.54,2.60,2.17,2.21,"2,068,900","109,850,000"
"Mar 13, 2018",2.55,2.66,2.46,2.53,"1,068,540","110,301,000"
"Mar 12, 2018",2.68,2.80,2.46,2.56,"923,645","115,873,000"
"Mar 11, 2018",2.57,2.78,2.40,2.69,"1,175,620","111,027,000"
"Mar 10, 2018",2.73,2.84,2.55,2.57,"1,013,880","118,291,000"
"Mar 09, 2018",2.85,2.89,2.39,2.75,"2,000,500","123,133,000"
"Mar 08, 2018",3.09,3.17,2.86,2.87,"1,865,980","133,482,000"
"Mar 07, 2018",3.28,3.32,2.86,3.07,"2,627,780","141,550,000"
"Mar 06, 2018",3.76,3.76,3.19,3.27,"4,634,330","162,518,000"
"Mar 05, 2018",3.93,4.04,3.74,3.78,"3,384,250","169,611,000"
"Mar 04, 2018",3.93,4.11,3.83,3.95,"2,615,000","169,764,000"
"Mar 03, 2018",3.77,4.12,3.76,3.96,"2,780,460","162,618,000"
"Mar 02, 2018",3.91,3.99,3.69,3.80,"2,208,920","168,727,000"
"Mar 01, 2018",3.77,3.94,3.70,3.92,"2,016,160","162,748,000"
"Feb 28, 2018",4.10,4.16,3.70,3.70,"1,757,960","176,812,000"
"Feb 27, 2018",4.15,4.29,4.02,4.11,"1,886,830","179,024,000"
"Feb 26, 2018",3.69,4.18,3.68,4.14,"2,756,120","159,220,000"
"Feb 25, 2018",3.77,3.78,3.52,3.68,"835,682","162,237,000"
"Feb 24, 2018",4.10,4.29,3.60,3.77,"1,904,940","176,718,000"
"Feb 23, 2018",3.83,4.30,3.63,4.12,"3,213,200","164,964,000"
"Feb 22, 2018",4.29,4.37,3.70,3.85,"2,641,010","184,797,000"
