Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.242029,0.243166,0.211965,0.224638,"2,317,720","48,385,000"
"Mar 22, 2018",0.260748,0.269154,0.232833,0.242570,"3,153,990","52,127,100"
"Mar 21, 2018",0.278587,0.285215,0.256334,0.259791,"6,169,330","55,693,400"
"Mar 20, 2018",0.315183,0.329559,0.271771,0.278387,"16,585,600","63,009,400"
"Mar 19, 2018",0.229698,0.332682,0.215490,0.311546,"23,766,300","45,919,800"
"Mar 18, 2018",0.191743,0.233051,0.150468,0.233051,"5,145,070","38,332,100"
"Mar 17, 2018",0.219414,0.223120,0.185218,0.192164,"600,370","43,864,000"
"Mar 16, 2018",0.218567,0.232662,0.206794,0.222359,"885,345","43,694,500"
"Mar 15, 2018",0.228006,0.229735,0.206377,0.222175,"1,409,100","45,581,700"
"Mar 14, 2018",0.277808,0.287193,0.216691,0.228199,"894,329","55,537,700"
"Mar 13, 2018",0.285176,0.298626,0.269035,0.278328,"1,227,150","57,010,600"
"Mar 12, 2018",0.301263,0.329317,0.272865,0.286699,"3,771,730","60,226,700"
"Mar 11, 2018",0.253984,0.323756,0.244485,0.303145,"3,204,570","50,774,900"
"Mar 10, 2018",0.279334,0.310440,0.250621,0.254771,"2,137,290","55,842,800"
"Mar 09, 2018",0.280298,0.286698,0.235235,0.278167,"1,412,460","56,035,400"
"Mar 08, 2018",0.291594,0.304565,0.250058,0.282769,"2,116,350","58,293,700"
"Mar 07, 2018",0.330669,0.363746,0.266523,0.295891,"2,366,170","66,103,500"
"Mar 06, 2018",0.388107,0.390644,0.331771,0.332519,"1,611,790","77,585,800"
"Mar 05, 2018",0.406930,0.416070,0.388303,0.389596,"1,764,340","81,348,800"
"Mar 04, 2018",0.412646,0.422305,0.392980,0.407632,"1,348,640","82,491,500"
"Mar 03, 2018",0.418461,0.450174,0.411721,0.415633,"3,018,800","83,653,900"
"Mar 02, 2018",0.410523,0.431758,0.392940,0.419844,"2,455,680","82,067,000"
"Mar 01, 2018",0.383343,0.434257,0.379697,0.409289,"3,116,350","76,633,600"
"Feb 28, 2018",0.433436,0.442001,0.382205,0.382681,"2,383,560","86,647,600"
"Feb 27, 2018",0.424562,0.453134,0.424562,0.433586,"2,670,690","84,873,600"
"Feb 26, 2018",0.421025,0.436705,0.407603,0.423472,"3,211,730","84,166,500"
"Feb 25, 2018",0.418705,0.466939,0.404033,0.418440,"7,880,630","83,702,800"
"Feb 24, 2018",0.424639,0.440007,0.397373,0.425033,"5,163,170","84,889,000"
"Feb 23, 2018",0.407811,0.452458,0.391037,0.425026,"3,221,210","81,524,800"
"Feb 22, 2018",0.443778,0.484329,0.397088,0.404619,"2,566,570","88,715,100"
