Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",1.22,1.22,1.12,1.17,"24,618","12,115,900"
"Mar 25, 2018",1.23,1.25,1.19,1.22,"23,706","12,290,100"
"Mar 24, 2018",1.29,1.30,1.24,1.24,"30,662","12,875,200"
"Mar 23, 2018",1.30,1.32,1.19,1.28,"40,621","12,949,000"
"Mar 22, 2018",1.40,1.42,1.28,1.30,"41,246","13,912,500"
"Mar 21, 2018",1.36,1.47,1.36,1.39,"37,097","13,584,100"
"Mar 20, 2018",1.38,1.39,1.33,1.36,"45,122","13,746,200"
"Mar 19, 2018",1.27,1.42,1.27,1.37,"47,766","12,616,600"
"Mar 18, 2018",1.36,1.36,1.13,1.26,"47,485","13,595,800"
"Mar 17, 2018",1.47,1.47,1.36,1.37,"27,746","14,646,900"
"Mar 16, 2018",1.52,1.53,1.45,1.47,"40,804","15,122,600"
"Mar 15, 2018",1.48,1.53,1.35,1.52,"38,238","14,745,200"
"Mar 14, 2018",1.71,1.76,1.40,1.48,"50,156","17,010,400"
"Mar 13, 2018",1.71,1.77,1.66,1.71,"46,957","17,053,300"
"Mar 12, 2018",1.81,1.83,1.66,1.72,"28,912","17,999,200"
"Mar 11, 2018",1.72,1.83,1.62,1.80,"33,321","17,179,200"
"Mar 10, 2018",1.85,1.89,1.71,1.73,"34,326","18,443,000"
"Mar 09, 2018",1.85,1.93,1.64,1.85,"52,345","18,410,400"
"Mar 08, 2018",1.92,2.03,1.76,1.85,"87,214","19,139,500"
"Mar 07, 2018",1.99,2.02,1.77,1.92,"88,149","19,862,700"
"Mar 06, 2018",2.24,2.24,1.97,1.99,"34,170","22,358,100"
"Mar 05, 2018",2.30,2.33,2.25,2.25,"45,929","22,892,100"
"Mar 04, 2018",2.28,2.29,2.18,2.29,"49,773","22,769,200"
"Mar 03, 2018",2.24,2.32,2.21,2.28,"38,639","22,326,100"
"Mar 02, 2018",2.21,2.26,2.17,2.23,"67,008","22,060,900"
"Mar 01, 2018",2.10,2.28,2.07,2.22,"70,074","20,926,100"
"Feb 28, 2018",2.19,2.27,2.10,2.10,"96,844","21,842,000"
"Feb 27, 2018",2.18,2.25,2.15,2.19,"62,704","21,784,900"
"Feb 26, 2018",2.13,2.26,2.10,2.18,"101,242","21,221,100"
"Feb 25, 2018",2.18,2.23,2.08,2.14,"104,239","21,718,300"
"Feb 24, 2018",2.22,2.27,2.10,2.18,"117,681","22,123,900"
"Feb 23, 2018",2.08,2.31,2.03,2.22,"146,669","20,793,100"
"Feb 22, 2018",2.93,3.03,2.08,2.10,"496,530","29,211,700"
"Feb 21, 2018",3.08,3.27,2.88,2.92,"612,448","30,740,100"
"Feb 20, 2018",3.02,3.19,2.87,3.08,"239,005","30,159,900"
"Feb 19, 2018",2.82,3.19,2.80,3.03,"348,288","28,172,800"
"Feb 18, 2018",2.98,3.00,2.65,2.84,"322,533","29,686,800"
"Feb 17, 2018",2.55,2.95,2.49,2.95,"439,567","25,436,100"
"Feb 16, 2018",2.30,2.54,2.22,2.54,"820,235","22,943,600"
"Feb 15, 2018",2.04,2.34,2.01,2.29,"57,930","20,327,900"
"Feb 14, 2018",2.07,2.25,1.84,2.04,"111,493","20,634,800"
"Feb 13, 2018",1.93,2.10,1.82,2.07,"132,194","19,292,700"
"Feb 12, 2018",1.73,1.96,1.73,1.93,"78,120","17,267,800"
"Feb 11, 2018",1.84,1.84,1.65,1.73,"37,109","18,315,800"
"Feb 10, 2018",1.92,2.11,1.77,1.84,"75,699","19,178,600"
"Feb 09, 2018",1.44,2.02,1.41,1.93,"130,515","14,378,600"
"Feb 08, 2018",1.51,1.81,1.39,1.44,"74,918","15,048,500"
"Feb 07, 2018",1.60,1.73,1.46,1.52,"29,408","15,928,000"
"Feb 06, 2018",1.39,1.63,1.15,1.60,"27,774","13,842,900"
"Feb 05, 2018",1.73,1.81,1.38,1.41,"40,946","17,287,900"
"Feb 04, 2018",2.01,2.01,1.69,1.74,"43,609","20,078,400"
"Feb 03, 2018",1.96,2.23,1.82,2.00,"60,000","19,504,900"
"Feb 02, 2018",1.87,2.02,1.51,1.95,"186,590","18,682,800"
"Feb 01, 2018",2.18,2.20,1.82,1.88,"39,317","21,759,600"
"Jan 31, 2018",2.14,2.29,1.99,2.18,"55,841","21,342,100"
"Jan 30, 2018",2.42,2.45,2.11,2.14,"74,940","24,133,000"
"Jan 29, 2018",2.56,2.59,2.38,2.42,"41,208","25,505,500"
"Jan 28, 2018",2.55,2.63,2.54,2.56,"29,457","25,417,900"
"Jan 27, 2018",2.58,2.67,2.48,2.54,"54,682","25,744,900"
"Jan 26, 2018",2.59,2.70,2.40,2.58,"53,464","25,792,300"
"Jan 25, 2018",2.52,2.65,2.50,2.61,"31,360","25,100,200"
"Jan 24, 2018",2.28,2.54,2.17,2.52,"127,574","22,771,200"
"Jan 23, 2018",2.28,2.40,2.11,2.28,"33,382","22,764,000"
"Jan 22, 2018",2.33,2.48,2.09,2.28,"40,688","23,191,800"
"Jan 21, 2018",2.66,2.70,2.28,2.33,"41,847","26,554,400"
"Jan 20, 2018",2.44,2.77,2.42,2.66,"32,358","24,289,500"
"Jan 19, 2018",2.28,2.52,2.18,2.41,"33,405","22,693,000"
"Jan 18, 2018",2.64,2.88,2.23,2.27,"72,485","26,311,600"
"Jan 17, 2018",2.25,2.70,1.86,2.64,"48,617","22,399,700"
"Jan 16, 2018",2.91,2.96,1.91,2.26,"51,747","29,026,700"
"Jan 15, 2018",2.91,3.05,2.85,2.91,"55,402","28,984,300"
"Jan 14, 2018",3.08,3.11,2.78,2.92,"43,087","30,672,800"
"Jan 13, 2018",2.96,3.18,2.96,3.07,"44,068","29,515,800"
"Jan 12, 2018",2.79,3.06,2.71,2.97,"36,743","27,806,200"
"Jan 11, 2018",3.27,3.27,2.63,2.77,"61,746","32,619,600"
"Jan 10, 2018",3.32,3.33,2.89,3.18,"113,399","33,072,400"
"Jan 09, 2018",3.52,3.73,3.14,3.31,"206,616","35,146,300"
"Jan 08, 2018",3.17,3.51,2.92,3.51,"135,582","31,617,200"
"Jan 07, 2018",3.32,3.67,3.05,3.17,"204,259","33,148,600"
"Jan 06, 2018",3.31,3.38,3.12,3.34,"103,000","33,053,600"
"Jan 05, 2018",3.29,3.53,3.21,3.31,"99,225","32,848,900"
"Jan 04, 2018",3.00,3.46,2.80,3.29,"222,839","29,878,300"
