Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.090838,0.093020,0.085078,0.091956,"68,542","22,601,500"
"Mar 22, 2018",0.093573,0.104158,0.088792,0.091365,"223,160","23,281,400"
"Mar 21, 2018",0.096146,0.100348,0.091768,0.096192,"60,844","23,921,700"
"Mar 20, 2018",0.098516,0.099802,0.093465,0.095519,"59,737","24,511,100"
"Mar 19, 2018",0.094176,0.098449,0.090433,0.097615,"67,973","23,431,200"
"Mar 18, 2018",0.094098,0.100336,0.078579,0.094585,"139,367","23,411,500"
"Mar 17, 2018",0.085139,0.133415,0.081659,0.099474,"261,393","21,182,200"
"Mar 16, 2018",0.085632,0.089035,0.081498,0.084281,"124,530","21,304,600"
"Mar 15, 2018",0.087683,0.088774,0.079989,0.085153,"51,501","21,814,700"
"Mar 14, 2018",0.105063,0.107287,0.084739,0.089289,"89,476","26,138,500"
"Mar 13, 2018",0.106138,0.110015,0.097196,0.104854,"125,638","26,405,600"
"Mar 12, 2018",0.111168,0.116875,0.100035,0.106680,"97,425","27,656,600"
"Mar 11, 2018",0.101743,0.113265,0.099039,0.112695,"65,691","25,311,700"
"Mar 10, 2018",0.106583,0.113797,0.101636,0.103755,"98,266","26,515,400"
"Mar 09, 2018",0.107351,0.109816,0.095509,0.104378,"115,800","26,706,200"
"Mar 08, 2018",0.113715,0.122609,0.104130,0.109435,"145,165","28,289,100"
"Mar 07, 2018",0.132900,0.136032,0.111094,0.112153,"163,765","33,061,600"
"Mar 06, 2018",0.139873,0.141644,0.123173,0.134255,"101,896","34,795,900"
"Mar 05, 2018",0.133334,0.142981,0.131020,0.139651,"65,675","33,168,500"
"Mar 04, 2018",0.134038,0.139509,0.127009,0.136295,"84,416","33,343,600"
"Mar 03, 2018",0.133753,0.137808,0.129022,0.135526,"361,008","33,272,400"
"Mar 02, 2018",0.129257,0.137880,0.128300,0.133765,"65,056","32,153,700"
"Mar 01, 2018",0.119195,0.134331,0.118734,0.128356,"153,836","29,650,200"
"Feb 28, 2018",0.134218,0.141507,0.120451,0.120451,"261,076","33,387,000"
"Feb 27, 2018",0.136042,0.151359,0.131518,0.134375,"172,200","33,840,300"
"Feb 26, 2018",0.125623,0.136827,0.122052,0.132882,"45,783","31,248,400"
"Feb 25, 2018",0.130170,0.134308,0.119735,0.130317,"427,389","32,379,000"
"Feb 24, 2018",0.131456,0.144807,0.124956,0.130303,"143,169","32,698,600"
"Feb 23, 2018",0.128667,0.142668,0.120632,0.135581,"81,600","32,004,400"
"Feb 22, 2018",0.145908,0.155642,0.121750,0.125078,"250,016","36,292,500"
