Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.097195,0.117271,0.092191,0.111778,"181,032","12,356,700"
"Mar 22, 2018",0.098795,0.102755,0.093608,0.097235,"150,015","12,560,200"
"Mar 21, 2018",0.097615,0.102023,0.095564,0.098894,"30,365","12,410,200"
"Mar 20, 2018",0.096304,0.098671,0.091512,0.097428,"51,615","12,243,500"
"Mar 19, 2018",0.090389,0.096834,0.088902,0.095546,"52,046","11,491,600"
"Mar 18, 2018",0.083239,0.091824,0.076623,0.090679,"97,928","10,582,500"
"Mar 17, 2018",0.086529,0.089878,0.083070,0.084048,"20,128","11,000,800"
"Mar 16, 2018",0.082287,0.098184,0.078671,0.085105,"38,797","10,461,400"
"Mar 15, 2018",0.086527,0.087117,0.073145,0.082707,"40,483","11,000,500"
"Mar 14, 2018",0.091380,0.092943,0.075249,0.086591,"50,791","11,617,600"
"Mar 13, 2018",0.094085,0.095880,0.086889,0.091360,"5,258","11,961,400"
"Mar 12, 2018",0.102206,0.104762,0.089368,0.094051,"21,859","12,993,900"
"Mar 11, 2018",0.091447,0.105033,0.089000,0.102525,"30,662","11,626,100"
"Mar 10, 2018",0.106094,0.107893,0.089865,0.091202,"32,652","13,488,200"
"Mar 09, 2018",0.095812,0.107098,0.087643,0.106683,"32,808","12,181,000"
"Mar 08, 2018",0.102114,0.109179,0.095415,0.095415,"35,095","12,982,100"
"Mar 07, 2018",0.108699,0.112098,0.099196,0.102252,"67,071","13,819,400"
"Mar 06, 2018",0.115722,0.119588,0.107921,0.108605,"23,896","14,712,200"
"Mar 05, 2018",0.108656,0.120047,0.106514,0.115910,"34,914","13,813,900"
"Mar 04, 2018",0.111727,0.113895,0.106649,0.108822,"26,971","14,204,300"
"Mar 03, 2018",0.116508,0.121721,0.108526,0.111861,"36,222","14,812,200"
"Mar 02, 2018",0.115103,0.129058,0.110995,0.116957,"35,370","14,633,600"
"Mar 01, 2018",0.110577,0.119562,0.105520,0.117335,"29,608","14,058,100"
"Feb 28, 2018",0.116996,0.121862,0.107876,0.109165,"32,785","14,874,200"
"Feb 27, 2018",0.112262,0.138459,0.111924,0.117577,"68,921","14,272,400"
"Feb 26, 2018",0.100251,0.117093,0.096177,0.110173,"65,123","12,745,400"
"Feb 25, 2018",0.106016,0.109082,0.097129,0.100186,"86,469","13,478,200"
"Feb 24, 2018",0.105697,0.111285,0.099562,0.106061,"45,315","13,437,700"
"Feb 23, 2018",0.112530,0.114806,0.101074,0.105956,"54,691","14,306,400"
"Feb 22, 2018",0.107921,0.122397,0.103008,0.111798,"47,876","13,720,500"
