Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.064588,0.072542,0.060948,0.072542,"2,345,570","64,587,800"
"Mar 22, 2018",0.069985,0.072162,0.053909,0.064599,448,"69,984,600"
"Mar 21, 2018",0.069137,0.073130,0.068186,0.069814,"7,992","69,136,900"
"Mar 20, 2018",0.054339,0.070223,0.053414,0.068715,"38,365","54,339,100"
"Mar 19, 2018",0.053757,0.061117,0.050457,0.053909,"6,869","53,757,500"
"Mar 18, 2018",0.059253,0.063997,0.045657,0.053974,"15,094","59,253,000"
"Mar 17, 2018",0.066152,0.066152,0.058688,0.059306,"207,122","66,152,400"
"Mar 16, 2018",0.065909,0.068578,0.061384,0.066110,"1,853","65,908,900"
"Mar 15, 2018",0.091891,0.092498,0.063803,0.065986,"4,152","91,891,200"
"Mar 14, 2018",0.099375,0.105233,0.088329,0.091826,"1,606,450","99,375,000"
"Mar 13, 2018",0.098079,0.103344,0.089410,0.099337,"33,990","98,079,400"
"Mar 12, 2018",0.099766,0.109272,0.097298,0.098180,"31,309","99,766,500"
"Mar 11, 2018",0.087240,0.101402,0.085184,0.099890,"59,173","87,239,900"
"Mar 10, 2018",0.090680,0.096786,0.086880,0.087501,"8,594","90,679,700"
"Mar 09, 2018",0.087384,0.090958,0.080487,0.090726,"12,273","87,384,000"
"Mar 08, 2018",0.092225,0.094990,0.086473,0.087545,"10,379","92,225,000"
"Mar 07, 2018",0.099797,0.100173,0.078682,0.092370,"66,358","99,797,500"
"Mar 06, 2018",0.106059,0.106059,0.098537,0.099699,"30,443","106,059,000"
"Mar 05, 2018",0.110914,0.110952,0.086166,0.106080,"78,643","110,914,000"
"Mar 04, 2018",0.111123,0.111162,0.108047,0.110881,"6,653","111,123,000"
"Mar 03, 2018",0.106860,0.112438,0.106860,0.111140,"9,834","106,860,000"
"Mar 02, 2018",0.095623,0.109289,0.095345,0.106944,"318,961","95,623,200"
"Mar 01, 2018",0.118062,0.119041,0.094466,0.095651,"1,155","118,062,000"
"Feb 28, 2018",0.127074,0.128487,0.118018,0.118025,"6,078","127,074,000"
"Feb 27, 2018",0.127779,0.131554,0.126097,0.127028,"26,105","127,779,000"
"Feb 26, 2018",0.121600,0.129006,0.114298,0.127428,"48,798","121,600,000"
"Feb 25, 2018",0.124848,0.126226,0.118708,0.121520,"10,571","124,848,000"
"Feb 24, 2018",0.106026,0.125343,0.101536,0.125141,"16,520","106,026,000"
"Feb 23, 2018",0.099724,0.108700,0.097865,0.106116,"30,102","99,724,400"
"Feb 22, 2018",0.104958,0.107260,0.081931,0.099847,"11,161","104,958,000"
