Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",40.69,40.69,37.14,39.56,"949,116","177,650,000"
"Mar 22, 2018",41.05,43.75,39.17,40.59,"1,166,700","178,913,000"
"Mar 21, 2018",41.75,44.41,39.86,40.99,"2,052,100","181,637,000"
"Mar 20, 2018",38.50,41.85,36.16,41.40,"1,768,690","167,236,000"
"Mar 19, 2018",33.13,38.44,33.09,38.23,"1,332,900","143,693,000"
"Mar 18, 2018",34.31,34.40,28.46,33.22,"1,288,830","148,562,000"
"Mar 17, 2018",35.98,36.48,33.70,34.35,"903,180","155,506,000"
"Mar 16, 2018",35.71,37.46,33.64,35.95,"1,024,240","154,007,000"
"Mar 15, 2018",36.08,38.37,33.11,35.65,"2,099,930","155,345,000"
"Mar 14, 2018",41.09,42.70,35.50,36.11,"1,591,700","176,662,000"
"Mar 13, 2018",41.22,43.52,40.60,41.11,"937,751","176,913,000"
"Mar 12, 2018",43.64,45.57,40.60,41.46,"1,256,250","187,012,000"
"Mar 11, 2018",40.58,44.12,39.32,43.80,"784,397","173,627,000"
"Mar 10, 2018",42.62,44.00,40.38,40.48,"941,618","182,095,000"
"Mar 09, 2018",42.09,42.86,35.62,42.86,"2,244,250","179,522,000"
"Mar 08, 2018",44.18,46.78,41.09,42.37,"3,828,070","188,148,000"
"Mar 07, 2018",50.15,51.06,41.19,44.33,"5,079,780","213,229,000"
"Mar 06, 2018",50.97,52.41,48.25,50.28,"4,072,160","216,342,000"
"Mar 05, 2018",57.29,57.29,51.65,51.65,"4,034,100","242,732,000"
"Mar 04, 2018",53.78,56.82,52.39,56.82,"3,609,570","227,441,000"
"Mar 03, 2018",54.62,58.38,52.03,53.92,"3,600,510","230,597,000"
"Mar 02, 2018",57.20,58.20,54.45,54.56,"3,985,150","241,087,000"
"Mar 01, 2018",51.54,61.21,50.97,57.42,"4,823,590","216,859,000"
"Feb 28, 2018",53.38,54.79,49.80,51.29,"3,789,180","224,195,000"
"Feb 27, 2018",52.88,55.05,51.43,53.64,"3,379,860","221,719,000"
"Feb 26, 2018",52.34,54.01,48.30,52.80,"4,130,380","219,067,000"
"Feb 25, 2018",52.45,53.48,49.64,52.15,"3,526,390","219,208,000"
"Feb 24, 2018",54.40,57.13,50.44,52.74,"3,772,980","226,963,000"
"Feb 23, 2018",50.12,54.94,47.91,54.37,"4,922,830","208,775,000"
"Feb 22, 2018",54.15,58.70,47.77,50.18,"6,244,840","225,115,000"
