Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.076109,0.076599,0.068077,0.070466,"3,341,510","22,362,900"
"Mar 22, 2018",0.074850,0.079062,0.072624,0.076122,"379,245","21,992,900"
"Mar 21, 2018",0.076648,0.080139,0.073172,0.074781,"239,578","22,521,200"
"Mar 20, 2018",0.079800,0.080428,0.069998,0.076473,"194,594","23,447,500"
"Mar 19, 2018",0.073066,0.080110,0.070355,0.079102,"375,195","21,468,900"
"Mar 18, 2018",0.071363,0.074098,0.061421,0.073345,"573,172","20,968,500"
"Mar 17, 2018",0.076994,0.090602,0.071013,0.071105,"676,628","22,623,000"
"Mar 16, 2018",0.078914,0.088912,0.072444,0.077492,"713,895","23,187,200"
"Mar 15, 2018",0.075034,0.084466,0.064470,0.079129,"1,046,730","22,046,900"
"Mar 14, 2018",0.087693,0.094674,0.074543,0.074543,"655,231","25,766,700"
"Mar 13, 2018",0.094461,0.094461,0.083553,0.087609,"373,868","27,755,200"
"Mar 12, 2018",0.096103,0.097939,0.086371,0.092351,"251,157","28,237,800"
"Mar 11, 2018",0.094799,0.102039,0.087876,0.096498,"326,329","27,854,700"
"Mar 10, 2018",0.102626,0.113434,0.094696,0.095137,"1,525,940","30,154,300"
"Mar 09, 2018",0.085626,0.103051,0.076497,0.102673,"6,706,290","25,159,400"
"Mar 08, 2018",0.091562,0.099172,0.083511,0.087067,"1,969,020","26,903,600"
"Mar 07, 2018",0.107907,0.114412,0.088605,0.091589,"1,840,260","25,311,300"
"Mar 06, 2018",0.119897,0.124683,0.104673,0.107072,"2,435,240","28,123,700"
"Mar 05, 2018",0.121323,0.125958,0.111436,0.120073,"2,228,790","28,458,100"
"Mar 04, 2018",0.126728,0.126728,0.113513,0.122551,"2,173,700","29,726,100"
"Mar 03, 2018",0.131131,0.132799,0.123528,0.124625,"423,430","30,758,800"
"Mar 02, 2018",0.145534,0.145744,0.127004,0.131223,"1,234,620","34,137,100"
"Mar 01, 2018",0.131620,0.153334,0.127144,0.146417,"3,982,560","30,873,500"
"Feb 28, 2018",0.145342,0.148158,0.121438,0.127671,"3,450,860","34,092,200"
"Feb 27, 2018",0.160967,0.163381,0.140396,0.145375,"749,595","37,757,300"
"Feb 26, 2018",0.155550,0.169347,0.146391,0.167958,"9,480,250","36,486,600"
"Feb 25, 2018",0.144237,0.158351,0.139145,0.154389,"3,754,070","33,832,900"
"Feb 24, 2018",0.128294,0.144757,0.128294,0.144700,"2,832,130","30,093,300"
"Feb 23, 2018",0.124854,0.142253,0.119004,0.128411,"1,212,820","29,286,400"
"Feb 22, 2018",0.132295,0.149908,0.120598,0.124992,"1,587,990","31,031,900"
