Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.207039,0.207039,0.151920,0.161378,"2,942,220","7,964,110"
"Mar 28, 2018",0.125814,0.275180,0.122802,0.205544,"5,691,900","4,839,660"
"Mar 27, 2018",0.130972,0.133400,0.116372,0.125205,"1,960,510","5,038,070"
"Mar 26, 2018",0.133315,0.140794,0.119762,0.124387,"1,287,840","5,128,180"
"Mar 25, 2018",0.142972,0.146167,0.131027,0.133859,"1,446,060","5,499,650"
"Mar 24, 2018",0.145263,0.160671,0.124041,0.142046,"1,832,080","5,587,800"
"Mar 23, 2018",0.113119,0.143229,0.109501,0.143229,"1,449,950","4,351,310"
"Mar 22, 2018",0.112199,0.124967,0.103257,0.113761,"1,925,140","4,315,920"
"Mar 21, 2018",0.114220,0.123640,0.111805,0.112974,"1,241,010","4,393,650"
"Mar 20, 2018",0.104146,0.117521,0.100625,0.114077,"1,035,920","4,006,130"
"Mar 19, 2018",0.103279,0.111531,0.096871,0.104980,"873,312","3,972,800"
"Mar 18, 2018",0.107759,0.108913,0.086391,0.103782,"2,585,960","4,145,140"
"Mar 17, 2018",0.114483,0.118542,0.103939,0.107427,"1,604,670","4,403,800"
"Mar 16, 2018",0.119049,0.129077,0.112090,0.114400,"1,558,670","4,436,580"
"Mar 15, 2018",0.117337,0.120226,0.109718,0.119626,"893,783","4,372,750"
"Mar 14, 2018",0.126882,0.144007,0.113146,0.117507,"631,462","4,728,480"
"Mar 13, 2018",0.126132,0.133503,0.123872,0.127056,"281,144","4,700,530"
"Mar 12, 2018",0.131016,0.139061,0.120006,0.126269,"1,587,000","4,882,540"
"Mar 11, 2018",0.129991,0.138313,0.119197,0.131328,"939,539","4,844,340"
"Mar 10, 2018",0.141727,0.144827,0.124558,0.130564,"913,630","5,281,710"
"Mar 09, 2018",0.130997,0.140776,0.108531,0.140776,"732,587","4,881,820"
"Mar 08, 2018",0.146217,0.170148,0.121726,0.130603,"1,188,190","5,449,030"
"Mar 07, 2018",0.193894,0.209759,0.110056,0.144928,"1,246,990","7,225,780"
"Mar 06, 2018",0.239492,0.244752,0.193635,0.193635,"1,088,940","8,925,080"
"Mar 05, 2018",0.258544,0.261352,0.231571,0.239855,"1,243,820","9,635,100"
"Mar 04, 2018",0.271174,0.274563,0.248696,0.260160,"1,016,980","10,105,800"
"Mar 03, 2018",0.274610,0.292365,0.267262,0.271397,"1,063,380","10,233,800"
"Mar 02, 2018",0.294270,0.302014,0.270938,0.273179,"1,192,150","10,966,500"
"Mar 01, 2018",0.276661,0.304329,0.271239,0.294202,"1,203,450","10,310,200"
"Feb 28, 2018",0.287527,0.333751,0.275138,0.277190,"1,437,530","10,715,200"
"Feb 27, 2018",0.292721,0.297341,0.269268,0.287691,"1,130,690","10,908,800"
"Feb 26, 2018",0.291286,0.298662,0.266390,0.293551,"1,004,990","10,855,300"
"Feb 25, 2018",0.310994,0.311312,0.280513,0.291085,"1,160,330","11,589,700"
"Feb 24, 2018",0.305453,0.335275,0.289222,0.312489,"1,402,390","11,383,200"
"Feb 23, 2018",0.331289,0.331289,0.284796,0.304671,"1,676,180","12,346,000"
"Feb 22, 2018",0.352968,0.375390,0.320860,0.331359,"1,586,430","13,154,000"
"Feb 21, 2018",0.368117,0.368117,0.334877,0.353750,"1,529,220","13,718,500"
"Feb 20, 2018",0.399777,0.420755,0.365106,0.369134,"1,854,530","14,898,400"
"Feb 19, 2018",0.388973,0.419602,0.387561,0.399625,"1,611,930","14,495,700"
"Feb 18, 2018",0.445041,0.449882,0.384936,0.388384,"2,073,750","16,585,200"
"Feb 17, 2018",0.441927,0.467714,0.426345,0.445651,"2,289,360","16,469,200"
"Feb 16, 2018",0.423879,0.472778,0.408683,0.440529,"2,807,920",-
"Feb 15, 2018",0.341457,0.493124,0.330872,0.419010,"6,747,450",-
"Feb 14, 2018",0.307015,0.407119,0.296904,0.340288,"4,466,200",-
"Feb 13, 2018",0.339153,0.340715,0.290905,0.307553,"3,392,290",-
"Feb 12, 2018",0.323827,0.344030,0.321096,0.338362,"3,518,190",-
"Feb 11, 2018",0.394012,0.394012,0.314310,0.316726,"3,876,780",-
"Feb 10, 2018",0.321586,0.416600,0.318882,0.383249,"4,352,500",-
"Feb 09, 2018",0.305058,0.325211,0.288741,0.321361,"3,988,130",-
"Feb 08, 2018",0.286295,0.323819,0.286295,0.304620,"4,120,290",-
"Feb 07, 2018",0.303944,0.338218,0.271574,0.286318,"4,232,990",-
"Feb 06, 2018",0.265691,0.317988,0.228827,0.306703,"4,188,530",-
"Feb 05, 2018",0.451301,0.494483,0.145089,0.265395,"4,165,550",-
"Feb 03, 2018",0.076406,0.077359,0.076406,0.077260,"11,905,500",-
