Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.473924,0.482895,0.450611,0.479936,"7,936,470","71,088,600"
"Mar 03, 2018",0.485575,0.494757,0.470229,0.475326,"4,248,780","72,836,200"
"Mar 02, 2018",0.496577,0.505447,0.477811,0.487539,"5,234,420","74,486,500"
"Mar 01, 2018",0.479976,0.502434,0.470740,0.497392,"6,744,870","71,996,400"
"Feb 28, 2018",0.485181,0.531179,0.459013,0.482490,"6,088,840","72,777,100"
"Feb 27, 2018",0.439524,0.492855,0.435855,0.486935,"4,517,740","65,928,600"
"Feb 26, 2018",0.440129,0.449237,0.422993,0.437196,"5,763,710","66,019,400"
"Feb 25, 2018",0.447345,0.462595,0.426347,0.435462,"5,685,240","67,101,800"
"Feb 24, 2018",0.497792,0.504720,0.436957,0.448754,"9,766,300","74,668,900"
"Feb 23, 2018",0.440949,0.507577,0.427547,0.499076,"9,721,380","66,142,400"
"Feb 22, 2018",0.510409,0.526128,0.440363,0.441391,"11,768,100","76,561,400"
"Feb 21, 2018",0.537066,0.545351,0.490911,0.512343,"8,558,160","80,559,900"
"Feb 20, 2018",0.562917,0.570275,0.525415,0.537600,"5,489,580","84,437,500"
"Feb 19, 2018",0.557377,0.581174,0.556588,0.562483,"7,493,880","83,606,500"
"Feb 18, 2018",0.610041,0.610041,0.555669,0.559611,"13,894,400","91,506,100"
"Feb 17, 2018",0.600590,0.638552,0.594591,0.609824,"6,959,180","90,088,500"
"Feb 16, 2018",0.595800,0.602395,0.569717,0.600911,"15,299,500","89,370,000"
"Feb 15, 2018",0.591522,0.608769,0.572144,0.600872,"8,451,470","88,728,300"
"Feb 14, 2018",0.573846,0.599348,0.539206,0.591138,"9,395,430","86,077,000"
"Feb 13, 2018",0.605617,0.607260,0.549986,0.568982,"5,683,530","90,842,600"
"Feb 12, 2018",0.578602,0.617836,0.574313,0.604555,"10,491,000","86,790,400"
"Feb 11, 2018",0.598606,0.599795,0.538989,0.571619,"9,449,060","89,790,900"
"Feb 10, 2018",0.622922,0.630767,0.574224,0.602050,"13,923,000",-
"Feb 09, 2018",0.591730,0.620703,0.550427,0.620703,"11,271,800",-
"Feb 08, 2018",0.544164,0.639096,0.544164,0.591664,"16,626,200",-
"Feb 07, 2018",0.631347,0.650843,0.543456,0.543456,"13,114,800",-
"Feb 06, 2018",0.426561,0.628065,0.337396,0.624902,"18,446,100",-
"Feb 05, 2018",0.428216,0.466518,0.410518,0.422279,"10,089,800",-
