Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.113290,0.145751,0.104497,0.109982,"1,269,550","13,378,400"
"Mar 03, 2018",0.099707,0.115389,0.084208,0.113396,"426,277","11,774,400"
"Mar 02, 2018",0.083172,0.144569,0.083172,0.102645,"436,525","9,821,840"
"Mar 01, 2018",0.087039,0.098989,0.074441,0.083337,"18,689","10,278,500"
"Feb 28, 2018",0.106860,0.107463,0.082102,0.086972,"17,097","12,619,100"
"Feb 27, 2018",0.090858,0.111650,0.089832,0.106887,503,"10,729,500"
"Feb 26, 2018",0.084932,0.097962,0.083655,0.090641,"19,652","10,029,700"
"Feb 25, 2018",0.084730,0.093924,0.083089,0.084886,"15,911","10,005,800"
"Feb 24, 2018",0.090043,0.093903,0.082654,0.084811,"19,386","10,633,200"
"Feb 23, 2018",0.091536,0.091536,0.080917,0.090113,"14,433","10,809,500"
"Feb 22, 2018",0.109605,0.112589,0.081558,0.091577,"44,720","12,943,300"
"Feb 21, 2018",0.116706,0.116706,0.093825,0.109701,"34,275","13,781,900"
"Feb 20, 2018",0.131407,0.131868,0.116404,0.116769,"7,055","15,517,900"
"Feb 19, 2018",0.114005,0.137673,0.107256,0.131371,"40,220","13,463,000"
"Feb 18, 2018",0.108856,0.116549,0.097549,0.114323,"8,330","12,854,800"
"Feb 17, 2018",0.097019,0.109265,0.096082,0.108696,"23,018","11,457,100"
"Feb 16, 2018",0.091988,0.107449,0.091055,0.097035,"26,677","10,862,900"
"Feb 15, 2018",0.093635,0.105866,0.086706,0.092184,"6,835","11,057,400"
"Feb 14, 2018",0.088018,0.099627,0.084412,0.093593,"31,735","10,394,100"
"Feb 13, 2018",0.100492,0.100810,0.070043,0.088207,"57,491","11,867,200"
"Feb 12, 2018",0.086489,0.113523,0.086489,0.100358,"51,263","10,213,600"
"Feb 11, 2018",0.104039,0.104039,0.086034,0.086034,"70,894","12,286,000"
"Feb 10, 2018",0.106246,0.128443,0.091349,0.104079,"72,789","12,546,600"
"Feb 09, 2018",0.102801,0.110789,0.094422,0.106158,"33,515","12,139,900"
"Feb 08, 2018",0.086067,0.103843,0.086067,0.102865,"29,685","10,163,700"
"Feb 07, 2018",0.089098,0.110641,0.082952,0.086328,"14,906","10,521,600"
"Feb 06, 2018",0.080246,0.090091,0.059278,0.089565,"56,739","9,476,280"
"Feb 05, 2018",0.095947,0.101543,0.076409,0.080111,"65,083","11,330,400"
"Feb 04, 2018",0.120247,0.121910,0.096518,0.096518,"118,783","14,200,000"
"Feb 03, 2018",0.121680,0.130274,0.117231,0.120233,"36,773","14,369,200"
"Feb 02, 2018",0.127951,0.131545,0.104509,0.121448,"34,873","15,109,800"
"Feb 01, 2018",0.151275,0.151632,0.126445,0.128119,"76,762","17,864,100"
"Jan 31, 2018",0.138303,0.151095,0.136145,0.151095,"46,082","16,332,200"
"Jan 30, 2018",0.165821,0.167799,0.138105,0.138197,"177,121","19,581,900"
"Jan 29, 2018",0.161820,0.181329,0.143656,0.168133,"198,369","19,109,500"
"Jan 28, 2018",0.140803,0.162765,0.139302,0.161882,"426,334","16,627,500"
"Jan 27, 2018",0.169501,0.183120,0.119283,0.146631,"861,525","20,016,400"
"Jan 26, 2018",0.165583,0.172633,0.147201,0.169547,"118,773",-
"Jan 25, 2018",0.159299,0.182671,0.148291,0.165891,"134,505",-
"Jan 24, 2018",0.165393,0.208087,0.153701,0.158129,"228,303",-
"Jan 23, 2018",0.146530,0.188572,0.135763,0.165410,"37,780",-
"Jan 22, 2018",0.154385,0.192193,0.123792,0.146818,"65,471",-
"Jan 21, 2018",0.196457,0.198994,0.133058,0.153251,"95,205",-
"Jan 20, 2018",0.198204,0.214201,0.154970,0.196137,"106,533",-
"Jan 19, 2018",0.211354,0.224839,0.185698,0.197794,"111,898",-
"Jan 18, 2018",0.205600,0.219768,0.163760,0.212429,"112,979",-
"Jan 17, 2018",0.316615,0.334279,0.184159,0.204162,"205,311",-
"Jan 16, 2018",0.402518,0.410005,0.260577,0.317784,"29,406",-
"Jan 15, 2018",0.284163,0.423802,0.275303,0.401711,"69,137",-
"Jan 14, 2018",0.300968,0.300968,0.197811,0.284225,"105,091",-
"Jan 13, 2018",0.276674,0.314195,0.254040,0.300686,"56,142",-
"Jan 12, 2018",0.264422,0.297066,0.176614,0.272507,"47,085",-
