Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",18.90,18.95,18.20,18.92,"23,813,000","1,936,630,000"
"Mar 03, 2018",19.31,19.53,18.55,18.87,"28,552,100","1,977,910,000"
"Mar 02, 2018",20.08,20.33,18.87,19.21,"34,726,800","2,056,140,000"
"Mar 01, 2018",18.34,21.43,17.76,20.12,"68,475,900","1,877,400,000"
"Feb 28, 2018",20.09,20.23,18.34,18.34,"38,836,200","2,055,330,000"
"Feb 27, 2018",20.69,20.73,19.64,20.12,"40,475,100","2,115,900,000"
"Feb 26, 2018",19.95,21.25,19.35,20.65,"43,196,600","2,039,330,000"
"Feb 25, 2018",20.81,20.90,19.38,20.01,"38,564,100","2,127,040,000"
"Feb 24, 2018",22.48,23.01,20.08,20.82,"49,191,700","2,297,060,000"
"Feb 23, 2018",21.39,23.52,20.50,22.60,"67,264,300","2,184,640,000"
"Feb 22, 2018",22.36,24.33,20.51,21.48,"85,276,200","2,283,080,000"
"Feb 21, 2018",26.06,26.26,21.87,22.41,"115,332,000","2,658,780,000"
"Feb 20, 2018",30.08,32.41,25.86,26.19,"246,763,000","3,068,380,000"
"Feb 19, 2018",29.69,30.86,29.30,30.37,"118,805,000","3,510,240,000"
"Feb 18, 2018",33.22,33.22,28.45,29.69,"120,072,000","3,925,290,000"
"Feb 17, 2018",32.05,35.87,31.53,33.22,"160,432,000","3,786,520,000"
"Feb 16, 2018",32.00,32.42,30.98,32.01,"72,607,000","3,779,450,000"
"Feb 15, 2018",28.30,31.97,28.15,31.37,"95,799,000","3,340,920,000"
"Feb 14, 2018",25.96,28.66,25.96,28.28,"68,051,000","3,064,760,000"
"Feb 13, 2018",28.08,28.32,25.57,26.00,"70,524,500","3,313,850,000"
"Feb 12, 2018",25.52,28.83,25.51,28.12,"58,563,000","3,010,810,000"
"Feb 11, 2018",27.35,27.35,23.36,25.28,"58,193,200","3,225,830,000"
"Feb 10, 2018",27.36,30.87,25.15,27.26,"105,683,000","3,225,960,000"
"Feb 09, 2018",23.08,27.28,22.07,27.25,"84,338,000","2,720,310,000"
"Feb 08, 2018",18.24,23.83,18.24,23.09,"83,927,600","2,148,840,000"
"Feb 07, 2018",18.06,20.94,16.45,18.31,"44,932,000","2,126,900,000"
"Feb 06, 2018",15.20,18.34,11.97,18.26,"55,712,200","1,790,490,000"
"Feb 05, 2018",19.72,20.43,14.46,15.13,"45,445,800","2,322,130,000"
"Feb 04, 2018",23.15,23.20,18.85,20.01,"34,650,700","2,724,380,000"
"Feb 03, 2018",21.60,23.84,19.51,23.08,"48,285,400","2,540,940,000"
"Feb 02, 2018",22.25,22.25,16.00,21.41,"75,701,400","2,616,560,000"
"Feb 01, 2018",26.37,26.46,20.65,22.34,"87,605,500","3,101,040,000"
"Jan 31, 2018",21.75,35.26,20.58,26.34,"309,340,000","2,556,440,000"
"Jan 30, 2018",22.58,23.47,20.88,21.71,"50,405,900","2,653,910,000"
"Jan 29, 2018",23.28,23.55,22.30,22.55,"34,448,300","2,734,540,000"
"Jan 28, 2018",23.33,24.11,23.27,23.29,"37,791,200","2,740,090,000"
