Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.524131,0.542178,0.507872,0.542048,"1,571,400","297,319,000"
"Mar 03, 2018",0.530719,0.546056,0.515852,0.523253,"1,795,840","300,682,000"
"Mar 02, 2018",0.545623,0.569864,0.522471,0.530029,"2,359,030","308,217,000"
"Mar 01, 2018",0.556207,0.566393,0.529397,0.544842,"3,988,730","313,407,000"
"Feb 28, 2018",0.614906,0.632915,0.551582,0.551582,"3,504,480","345,572,000"
"Feb 27, 2018",0.638712,0.648712,0.609646,0.615573,"3,094,370","358,546,000"
"Feb 26, 2018",0.619509,0.648450,0.603624,0.636320,"1,817,100","347,673,000"
"Feb 25, 2018",0.678638,0.678638,0.603281,0.620059,"3,279,210","380,857,000"
"Feb 24, 2018",0.651294,0.736435,0.639657,0.676924,"11,116,200","365,511,000"
"Feb 23, 2018",0.561910,0.785050,0.552423,0.662911,"10,787,000","315,348,000"
"Feb 22, 2018",0.601150,0.653492,0.552554,0.569815,"2,072,610","337,370,000"
"Feb 21, 2018",0.641280,0.653201,0.593762,0.602391,"1,591,470","359,891,000"
"Feb 20, 2018",0.722183,0.731776,0.635901,0.642551,"2,339,340","405,294,000"
"Feb 19, 2018",0.677942,0.799243,0.677942,0.723885,"3,526,600","380,466,000"
"Feb 18, 2018",0.769417,0.774059,0.668879,0.679050,"2,096,690","431,802,000"
"Feb 17, 2018",0.708112,0.772922,0.702830,0.768265,"2,172,190","397,397,000"
"Feb 16, 2018",0.692724,0.738498,0.671609,0.709270,"2,468,540","388,762,000"
"Feb 15, 2018",0.682652,0.702000,0.663021,0.685976,"2,070,900","383,109,000"
"Feb 14, 2018",0.629403,0.689647,0.623802,0.680280,"2,732,930","353,226,000"
"Feb 13, 2018",0.664021,0.665442,0.621858,0.631763,"974,596","372,653,000"
"Feb 12, 2018",0.611140,0.667270,0.607998,0.661362,"1,539,460","342,973,000"
"Feb 11, 2018",0.657918,0.660492,0.598792,0.609097,"1,884,400","369,225,000"
"Feb 10, 2018",0.702912,0.740682,0.629845,0.657022,"2,499,220","394,476,000"
"Feb 09, 2018",0.637210,0.705582,0.608212,0.705582,"1,171,380","357,604,000"
"Feb 08, 2018",0.583720,0.661312,0.582478,0.635926,"2,444,270","327,585,000"
