Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.475096,0.486307,0.440884,0.466224,"10,876","16,293,000"
"Mar 03, 2018",0.435706,0.476139,0.435706,0.475917,"6,305","14,933,700"
"Mar 02, 2018",0.455554,0.464950,0.423741,0.436240,"23,500","15,605,100"
"Mar 01, 2018",0.430655,0.461354,0.427300,0.456728,"24,952","14,743,500"
"Feb 28, 2018",0.447906,0.466109,0.388914,0.430021,"28,107","15,325,200"
"Feb 27, 2018",0.467118,0.523065,0.432465,0.461567,"24,569","15,973,400"
"Feb 26, 2018",0.410207,0.478973,0.405255,0.465772,"16,630","14,019,200"
"Feb 25, 2018",0.415765,0.458530,0.391921,0.409683,"8,627","14,200,900"
"Feb 24, 2018",0.498911,0.531959,0.385187,0.416396,"26,812","17,031,000"
"Feb 23, 2018",0.492245,0.544216,0.426557,0.511836,"46,229","16,793,800"
"Feb 22, 2018",0.376897,0.634404,0.372632,0.492705,"43,034","12,851,000"
"Feb 21, 2018",0.460325,0.492561,0.385557,0.385557,"30,114","15,686,700"
"Feb 20, 2018",0.477580,0.489331,0.374478,0.460899,"15,940","16,265,200"
"Feb 19, 2018",0.429115,0.510667,0.390718,0.477147,"24,381","14,606,100"
"Feb 18, 2018",0.465706,0.485168,0.395310,0.431096,"39,512","15,842,200"
"Feb 17, 2018",0.472978,0.482691,0.432967,0.464282,"13,409","16,080,200"
"Feb 16, 2018",0.496753,0.525958,0.382940,0.473087,"46,567","16,878,500"
"Feb 15, 2018",0.494025,0.525719,0.438193,0.498884,"21,747","16,776,200"
"Feb 14, 2018",0.473147,0.502625,0.436487,0.493757,"45,843","16,057,700"
"Feb 13, 2018",0.552893,0.669400,0.417505,0.470977,"116,638","18,753,200"
"Feb 12, 2018",0.327172,0.581254,0.327172,0.488476,"89,119","11,090,500"
"Feb 11, 2018",0.350795,0.370471,0.314534,0.325100,"4,843","11,884,100"
"Feb 10, 2018",0.434270,0.451547,0.330474,0.351096,"12,974","14,703,100"
"Feb 09, 2018",0.330860,0.435295,0.310963,0.433953,"38,137","11,195,400"
"Feb 08, 2018",0.333001,0.367017,0.327997,0.329845,"23,025","11,261,100"
"Feb 07, 2018",0.327909,0.396590,0.300219,0.334414,"5,009","11,082,400"
"Feb 06, 2018",0.297740,0.347507,0.238040,0.331223,"45,932","10,056,800"
"Feb 05, 2018",0.387470,0.399243,0.290295,0.303464,"12,333","13,079,800"
"Feb 04, 2018",0.463786,0.483252,0.378065,0.391265,"4,995","15,646,800"
"Feb 03, 2018",0.439945,0.476889,0.383741,0.463549,"18,221","14,833,800"
"Feb 02, 2018",0.490217,0.499173,0.312015,0.438449,"60,007","16,519,000"
"Feb 01, 2018",0.431531,0.500184,0.368761,0.409511,"21,978","14,532,900"
"Jan 31, 2018",0.496633,0.499461,0.396834,0.430530,"39,657","16,715,400"
"Jan 30, 2018",0.650705,0.652143,0.479197,0.495854,"28,906","21,888,000"
"Jan 29, 2018",0.648432,0.734416,0.612218,0.650491,"42,293","21,798,500"
"Jan 28, 2018",0.739605,0.824915,0.517999,0.649052,"33,764","24,848,700"
"Jan 27, 2018",0.657750,0.795088,0.444142,0.745268,"113,078","22,085,600"
