Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",3.52,3.59,3.28,3.49,"5,355,450","83,022,200"
"Mar 03, 2018",3.17,3.73,2.95,3.54,"8,886,060","74,748,400"
"Mar 02, 2018",2.75,3.33,2.75,3.16,"6,656,630","64,751,700"
"Mar 01, 2018",2.61,2.79,2.59,2.75,"2,484,820","61,562,500"
"Feb 28, 2018",2.87,2.91,2.60,2.60,"2,311,090","67,534,900"
"Feb 27, 2018",2.81,2.99,2.75,2.88,"3,487,530","66,259,800"
"Feb 26, 2018",2.87,2.93,2.65,2.82,"4,299,190","67,649,500"
"Feb 25, 2018",2.47,3.06,2.44,2.88,"10,128,200","58,163,100"
"Feb 24, 2018",2.58,2.64,2.38,2.47,"2,157,470","60,885,100"
"Feb 23, 2018",2.51,2.67,2.40,2.59,"2,415,070","59,085,400"
"Feb 22, 2018",2.60,2.88,2.41,2.52,"3,269,020","61,159,400"
"Feb 21, 2018",2.69,2.85,2.49,2.59,"2,927,430","63,465,500"
"Feb 20, 2018",3.30,3.30,2.69,2.71,"4,074,230","77,669,400"
"Feb 19, 2018",3.08,3.37,3.05,3.30,"3,433,640","72,620,300"
"Feb 18, 2018",3.58,3.63,3.09,3.10,"4,518,260","84,440,000"
"Feb 17, 2018",3.14,3.58,3.10,3.57,"4,237,370","73,896,400"
"Feb 16, 2018",3.12,3.28,3.01,3.12,"4,816,730","73,413,900"
"Feb 15, 2018",2.63,3.30,2.63,3.13,"11,507,000","61,924,900"
"Feb 14, 2018",2.34,2.81,2.32,2.64,"2,975,080","55,037,400"
"Feb 13, 2018",2.45,2.55,2.25,2.34,"1,669,720","57,703,700"
"Feb 12, 2018",2.32,2.52,2.32,2.44,"4,310,040","54,713,800"
"Feb 11, 2018",2.65,2.65,2.18,2.34,"4,760,860","62,444,900"
"Feb 10, 2018",3.04,3.14,2.46,2.63,"4,960,410","71,571,500"
"Feb 09, 2018",3.01,3.17,2.87,3.06,"2,017,270","70,969,000"
"Feb 08, 2018",2.71,3.12,2.71,3.03,"3,771,760","63,872,300"
"Feb 07, 2018",2.72,3.18,2.35,2.71,"5,312,710","64,206,100"
"Feb 06, 2018",2.11,2.75,1.47,2.68,"5,318,410","49,769,900"
"Feb 05, 2018",2.82,3.00,1.97,2.07,"3,312,300","66,446,300"
"Feb 04, 2018",3.47,3.59,2.71,2.85,"3,142,410","81,739,100"
"Feb 03, 2018",3.02,3.60,2.79,3.51,"3,818,610","71,161,200"
"Feb 02, 2018",3.56,3.56,2.37,3.01,"4,613,780","83,930,900"
"Feb 01, 2018",4.17,4.21,3.11,3.59,"5,393,130","98,180,100"
"Jan 31, 2018",4.01,4.35,3.87,4.15,"4,611,260","94,572,100"
"Jan 30, 2018",4.46,4.51,3.75,4.00,"4,140,350","105,126,000"
"Jan 29, 2018",4.80,4.86,4.41,4.47,"3,955,740","113,051,000"
"Jan 28, 2018",4.81,5.08,4.65,4.84,"4,300,920","113,444,000"
"Jan 27, 2018",4.77,5.03,4.54,4.78,"3,830,670","112,365,000"
"Jan 26, 2018",4.50,4.87,4.04,4.77,"4,711,070","106,109,000"
"Jan 25, 2018",4.62,4.95,4.48,4.51,"4,299,540","108,926,000"
"Jan 24, 2018",4.37,4.66,4.25,4.54,"3,466,810","103,073,000"
"Jan 23, 2018",4.21,4.77,3.88,4.36,"3,943,520","99,209,700"
"Jan 22, 2018",4.56,4.96,4.00,4.25,"4,911,670","107,383,000"
"Jan 21, 2018",5.35,5.35,4.24,4.51,"4,042,010","125,956,000"
"Jan 20, 2018",5.12,5.57,5.00,5.34,"6,837,520","120,579,000"
"Jan 19, 2018",5.44,5.82,4.99,5.07,"6,858,540","128,113,000"
"Jan 18, 2018",4.56,6.34,4.32,5.45,"12,825,800","107,432,000"
"Jan 17, 2018",3.92,4.89,2.90,4.52,"9,556,240","92,397,900"
"Jan 16, 2018",5.15,5.15,3.03,3.99,"10,236,600","121,242,000"
"Jan 15, 2018",5.91,6.44,5.07,5.11,"9,471,440","139,205,000"
"Jan 14, 2018",6.03,7.28,5.25,5.78,"19,780,000","142,038,000"
"Jan 13, 2018",6.70,6.87,5.95,6.01,"10,497,300","157,940,000"
"Jan 12, 2018",7.00,7.13,6.29,6.69,"14,423,600","165,023,000"
"Jan 11, 2018",8.21,8.40,6.49,6.97,"18,635,700","193,500,000"
"Jan 10, 2018",7.62,8.54,7.04,8.23,"23,532,600","179,567,000"
"Jan 09, 2018",6.97,8.25,6.56,7.59,"21,911,400","164,263,000"
"Jan 08, 2018",7.13,8.11,5.28,6.96,"27,591,400","168,068,000"
"Jan 07, 2018",6.02,7.36,5.70,7.16,"33,066,000","141,754,000"
"Jan 06, 2018",5.24,6.37,4.34,5.99,"26,874,500","123,572,000"
"Jan 05, 2018",4.49,5.33,3.51,5.27,"26,935,500","105,692,000"
"Jan 04, 2018",3.55,4.59,3.29,4.52,"31,874,900","83,568,300"
"Jan 03, 2018",2.30,3.79,2.07,3.56,"18,564,100","54,165,700"
"Jan 02, 2018",2.16,2.49,2.15,2.34,"7,074,850","50,959,000"
"Jan 01, 2018",2.25,2.38,1.96,2.18,"6,226,810","53,130,700"
"Dec 31, 2017",2.20,2.40,1.96,2.34,"6,522,190","51,749,200"
"Dec 30, 2017",2.15,2.32,1.70,2.08,"6,224,630","50,636,300"
"Dec 29, 2017",2.11,2.50,2.06,2.21,"7,731,480","49,708,900"
"Dec 28, 2017",2.09,2.22,1.74,2.10,"7,212,260","49,268,400"
"Dec 27, 2017",1.71,2.37,1.64,2.08,"9,956,730","40,261,200"
"Dec 26, 2017",1.78,1.90,1.60,1.72,"5,869,280","41,882,200"
"Dec 25, 2017",1.97,2.12,1.68,1.80,"6,184,170","46,389,900"
"Dec 24, 2017",1.65,2.07,1.38,1.96,"13,993,800","38,856,100"
"Dec 23, 2017",0.915395,2.03,0.899076,1.64,"18,410,900","21,571,200"
"Dec 22, 2017",1.13,1.14,0.743385,0.920280,"4,089,970","26,728,600"
"Dec 21, 2017",1.01,1.17,1.00,1.13,"75,465,000","23,786,100"
"Dec 20, 2017",1.14,1.14,0.974359,1.01,"459,809,000","26,973,300"
"Dec 19, 2017",1.23,1.34,1.10,1.14,"61,563,400",-
"Dec 18, 2017",1.14,1.27,1.03,1.24,"13,223,500",-
"Dec 17, 2017",1.10,1.20,1.05,1.13,"43,891,200",-
"Dec 16, 2017",0.985912,1.12,0.973596,1.10,"75,421,500",-
"Dec 15, 2017",1.02,1.05,0.893573,0.995082,"44,966,900",-
"Dec 14, 2017",0.875653,1.13,0.827503,1.02,"21,419,800",-
"Dec 13, 2017",0.793670,0.950585,0.759173,0.911195,"3,181,330",-
"Dec 12, 2017",0.867258,0.923186,0.749934,0.796081,"2,271,050",-
