Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",1.52,1.59,1.36,1.44,"108,845","27,944,000"
"Mar 03, 2018",1.51,1.61,1.47,1.53,"114,710","27,752,500"
"Mar 02, 2018",1.43,1.58,1.35,1.52,"174,805","26,121,500"
"Mar 01, 2018",1.38,1.52,1.36,1.43,"58,240","25,284,700"
"Feb 28, 2018",1.55,1.62,1.37,1.38,"116,505","28,238,700"
"Feb 27, 2018",1.63,1.70,1.51,1.55,"131,776","29,720,400"
"Feb 26, 2018",1.55,1.68,1.45,1.65,"127,971","28,168,600"
"Feb 25, 2018",1.42,1.83,1.41,1.55,"396,770","25,831,800"
"Feb 24, 2018",1.50,1.63,1.38,1.42,"71,249","27,126,700"
"Feb 23, 2018",1.45,1.57,1.40,1.52,"85,885","26,335,800"
"Feb 22, 2018",1.59,1.66,1.41,1.44,"120,160","28,808,100"
"Feb 21, 2018",1.71,1.71,1.52,1.59,"144,385","30,827,600"
"Feb 20, 2018",1.69,1.94,1.67,1.70,"349,113","30,514,100"
"Feb 19, 2018",1.51,1.75,1.50,1.67,"126,879","27,100,100"
"Feb 18, 2018",1.59,1.85,1.45,1.51,"245,553","28,594,200"
"Feb 17, 2018",1.62,1.68,1.54,1.57,"151,535","29,099,300"
"Feb 16, 2018",1.64,1.66,1.47,1.62,"111,414","29,301,600"
"Feb 15, 2018",1.56,1.66,1.55,1.65,"103,781","27,943,800"
"Feb 14, 2018",1.45,1.57,1.43,1.56,"65,518","25,917,400"
"Feb 13, 2018",1.58,1.58,1.43,1.46,"143,490","28,092,500"
"Feb 12, 2018",1.44,1.59,1.44,1.59,"65,492","25,541,400"
"Feb 11, 2018",1.54,1.54,1.40,1.43,"55,978","27,395,800"
"Feb 10, 2018",1.60,1.70,1.48,1.54,"103,904","28,320,100"
"Feb 09, 2018",1.49,1.63,1.40,1.60,"95,068","26,404,700"
"Feb 08, 2018",1.41,1.62,1.41,1.49,"178,428","24,899,400"
"Feb 07, 2018",1.47,1.78,1.35,1.43,"106,448","25,953,300"
"Feb 06, 2018",1.34,1.53,1.08,1.49,"139,540","23,518,400"
"Feb 05, 2018",1.63,1.69,1.27,1.33,"125,585","28,728,000"
"Feb 04, 2018",1.76,2.21,1.55,1.65,"304,566","30,824,200"
"Feb 03, 2018",1.56,1.99,1.46,1.76,"313,968","27,384,800"
"Feb 02, 2018",1.64,1.66,1.23,1.56,"353,027","28,746,900"
"Feb 01, 2018",1.95,2.22,1.62,1.71,"323,265","34,045,800"
"Jan 31, 2018",2.09,2.14,1.93,1.94,"136,173","36,471,800"
"Jan 30, 2018",2.52,2.56,2.04,2.09,"144,285","43,901,000"
"Jan 29, 2018",2.74,2.78,2.49,2.54,"353,328","47,634,400"
"Jan 28, 2018",2.74,2.95,2.68,2.74,"666,938","47,360,700"
"Jan 27, 2018",2.63,2.81,2.43,2.72,"441,218","45,452,800"
"Jan 26, 2018",2.41,2.93,2.20,2.60,"377,307","41,655,100"
"Jan 25, 2018",2.58,2.67,2.38,2.42,"142,385","44,447,200"
"Jan 24, 2018",2.54,2.63,2.33,2.57,"277,327","43,727,900"
"Jan 23, 2018",2.70,2.78,2.23,2.54,"306,605","46,441,800"
"Jan 22, 2018",2.84,2.88,2.30,2.74,"402,146","48,805,400"
"Jan 21, 2018",3.32,3.32,2.65,2.81,"293,343","56,793,100"
"Jan 20, 2018",3.04,3.54,2.98,3.31,"289,804","52,030,100"
"Jan 19, 2018",2.79,3.49,2.75,3.02,"464,236","47,554,800"
"Jan 18, 2018",2.90,3.48,2.78,2.79,"559,546","49,486,200"
"Jan 17, 2018",2.85,3.10,2.13,2.89,"548,032","48,471,500"
