Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.157165,0.157220,0.131017,0.144434,"52,710","11,955,600"
"Mar 03, 2018",0.145179,0.159085,0.140991,0.157197,"35,696","11,043,800"
"Mar 02, 2018",0.140048,0.166161,0.138245,0.149795,"60,892","10,653,500"
"Mar 01, 2018",0.130583,0.159921,0.129387,0.140089,"61,841","9,933,490"
"Feb 28, 2018",0.132023,0.148927,0.127286,0.130542,"55,585","10,043,100"
"Feb 27, 2018",0.157596,0.162339,0.131949,0.131976,"39,646","11,988,400"
"Feb 26, 2018",0.157501,0.160335,0.130739,0.157164,"50,483","11,981,100"
"Feb 25, 2018",0.154194,0.158931,0.146123,0.157398,"20,475","11,729,600"
"Feb 24, 2018",0.175958,0.193780,0.140611,0.154125,"70,832","13,385,200"
"Feb 23, 2018",0.160747,0.170749,0.149260,0.170558,"79,737","12,228,100"
"Feb 22, 2018",0.144115,0.162509,0.137671,0.160945,"46,349","10,962,900"
"Feb 21, 2018",0.151566,0.189034,0.140774,0.144354,"36,933","11,529,700"
"Feb 20, 2018",0.178046,0.206259,0.151755,0.151755,"52,692","13,544,000"
"Feb 19, 2018",0.173935,0.215505,0.158971,0.178008,"38,146","13,231,300"
"Feb 18, 2018",0.167477,0.264572,0.157444,0.174520,"56,969","12,740,000"
"Feb 17, 2018",0.131298,0.179088,0.118763,0.179088,"49,676","9,987,910"
"Feb 16, 2018",0.114319,0.133551,0.096989,0.131223,"35,111","8,696,310"
"Feb 15, 2018",0.092144,0.116393,0.092144,0.097659,"21,983","7,009,430"
"Feb 14, 2018",0.116152,0.124597,0.091646,0.092097,"16,304","8,835,700"
"Feb 13, 2018",0.110020,0.123634,0.101138,0.116202,"20,860","8,369,270"
"Feb 12, 2018",0.110607,0.127139,0.098619,0.109866,"18,277","8,413,890"
"Feb 11, 2018",0.131934,0.131934,0.094823,0.110133,"11,219","10,036,200"
"Feb 10, 2018",0.137547,0.141558,0.103027,0.132148,"5,954","10,463,200"
"Feb 09, 2018",0.116265,0.136521,0.111903,0.135764,"1,064","8,844,280"
"Feb 08, 2018",0.116534,0.126412,0.099106,0.116120,"46,389","8,864,800"
"Feb 07, 2018",0.109516,0.126230,0.069985,0.116833,"46,770","8,330,920"
"Feb 06, 2018",0.078679,0.118111,0.058367,0.109631,"49,526","5,985,140"
"Feb 05, 2018",0.125840,0.136058,0.072856,0.078400,"35,911","9,572,700"
"Feb 04, 2018",0.130470,0.140818,0.098846,0.127072,"16,177","9,924,870"
"Feb 03, 2018",0.135372,0.144731,0.113240,0.132321,"71,369","10,297,800"
"Feb 02, 2018",0.165205,0.165205,0.103256,0.134708,"29,770","12,567,200"
"Feb 01, 2018",0.194168,0.195965,0.101144,0.155771,"63,329","14,770,400"
"Jan 31, 2018",0.188779,0.205114,0.155816,0.179673,"38,939","14,360,500"
"Jan 30, 2018",0.189566,0.208762,0.168497,0.188129,"80,249","14,420,300"
"Jan 29, 2018",0.216063,0.242826,0.205466,0.207355,"73,607","16,436,000"
"Jan 28, 2018",0.240187,0.252295,0.202111,0.216465,"97,008","18,271,100"
"Jan 27, 2018",0.276206,0.284045,0.230231,0.238509,"101,462","21,011,100"
"Jan 26, 2018",0.300908,0.310227,0.230218,0.276185,"59,428","22,890,200"
"Jan 25, 2018",0.323686,0.345195,0.296609,0.301959,"69,951","24,622,900"
"Jan 24, 2018",0.327920,0.347632,0.280408,0.321321,"106,563","24,944,900"
"Jan 23, 2018",0.322160,0.371072,0.280037,0.327822,"146,551","24,506,800"
"Jan 22, 2018",0.333649,0.421643,0.286920,0.322748,"282,928","25,380,800"
"Jan 21, 2018",0.379267,0.380639,0.302370,0.332081,"136,117","28,850,900"
"Jan 20, 2018",0.288126,0.385238,0.259027,0.384141,"113,628","21,917,800"
"Jan 19, 2018",0.252893,0.303655,0.248510,0.286280,"134,925","19,237,600"
"Jan 18, 2018",0.264956,0.294227,0.247029,0.254783,"117,724","20,155,300"
"Jan 17, 2018",0.263448,0.284217,0.190734,0.262005,"69,429","20,040,600"
"Jan 16, 2018",0.361381,0.364444,0.225136,0.262511,"162,671","27,490,400"
"Jan 15, 2018",0.417317,0.441865,0.334200,0.360673,"170,376","31,745,400"
"Jan 14, 2018",0.477111,0.502880,0.409183,0.417456,"599,713","36,294,000"
"Jan 13, 2018",0.221655,0.556276,0.219421,0.479907,"479,161","16,861,400"
"Jan 12, 2018",0.211044,0.250791,0.194840,0.219395,"142,166","16,054,200"
"Jan 11, 2018",0.236279,0.254865,0.211712,0.214111,"143,659","17,973,800"
"Jan 10, 2018",0.271163,0.278190,0.230169,0.236814,"146,679","20,627,400"
"Jan 09, 2018",0.263724,0.297249,0.261719,0.271046,"174,138","20,061,600"
"Jan 08, 2018",0.279681,0.303738,0.228920,0.264477,"389,718","21,275,400"
"Jan 07, 2018",0.241659,0.288816,0.241063,0.277165,"400,009","18,383,100"
"Jan 06, 2018",0.129473,0.271062,0.128783,0.241755,"340,734","9,849,010"
"Jan 05, 2018",0.127383,0.153191,0.122982,0.128674,"269,300","9,690,040"
"Jan 04, 2018",0.075466,0.130270,0.067248,0.127911,"145,568","5,740,690"
"Jan 03, 2018",0.060577,0.077080,0.057180,0.075345,"104,212","4,608,120"
"Jan 02, 2018",0.087289,0.107152,0.059666,0.065878,"134,908","6,640,120"
"Jan 01, 2018",0.039819,0.124749,0.031356,0.087086,"204,719","3,029,020"
"Dec 31, 2017",0.031917,0.041574,0.030681,0.039725,"91,170","2,427,920"
"Dec 30, 2017",0.039994,0.039994,0.030296,0.032253,"36,547","3,439,450"
"Dec 29, 2017",0.040723,0.047516,0.036459,0.039612,"122,238","3,502,220"
"Dec 28, 2017",0.039563,0.039948,0.029620,0.039948,"72,708","3,402,430"
"Dec 27, 2017",0.023463,0.041497,0.021986,0.039629,"130,416","2,017,850"
"Dec 26, 2017",0.020193,0.026203,0.017086,0.024251,"36,226","1,736,590"
"Dec 25, 2017",0.019267,0.022450,0.017973,0.020185,"15,297","1,656,970"
"Dec 24, 2017",0.019019,0.023793,0.013233,0.019172,"16,622","1,635,650"
"Dec 23, 2017",0.015937,0.020078,0.015927,0.018797,"14,465","1,370,550"
"Dec 22, 2017",0.011082,0.017321,0.010128,0.015806,"19,136","953,070"
"Dec 21, 2017",0.007276,0.011773,0.007221,0.011040,"2,061","625,699"
"Dec 20, 2017",0.014760,0.014763,0.007020,0.007268,"9,629","1,269,360"
"Dec 19, 2017",0.017738,0.019335,0.013431,0.014776,"6,063","993,323"
"Dec 18, 2017",0.010200,0.018860,0.010200,0.017791,"20,557","571,183"
"Dec 17, 2017",0.010080,0.012655,0.009989,0.010213,"25,579","564,479"
"Dec 16, 2017",0.011883,0.012010,0.009518,0.010048,"9,867","665,448"
"Dec 15, 2017",0.012345,0.012366,0.009297,0.011858,"1,894","691,336"
"Dec 14, 2017",0.010517,0.012354,0.007269,0.012354,"3,113","588,947"
"Dec 13, 2017",0.015130,0.015469,0.004265,0.010522,"6,726","847,305"
"Dec 12, 2017",0.011120,0.015255,0.007535,0.015120,"8,534","622,743"
"Dec 11, 2017",0.010976,0.014620,0.010925,0.011192,"21,775","614,651"
"Dec 10, 2017",0.013063,0.016494,0.011492,0.011503,"18,465","391,893"
"Dec 09, 2017",0.011366,0.016957,0.010646,0.012233,"13,021","340,993"
"Dec 08, 2017",0.011157,0.012793,0.007789,0.011367,"1,718","334,721"
"Dec 07, 2017",0.011557,0.012950,0.011008,0.011141,"2,658",-
"Dec 06, 2017",0.014478,0.014521,0.011075,0.011218,"8,517",-
"Dec 05, 2017",0.014038,0.014826,0.013863,0.014503,"18,838",-
"Dec 04, 2017",0.019119,0.020262,0.013623,0.014031,"27,198",-
"Dec 03, 2017",0.016305,0.018997,0.013685,0.018382,"41,498",-
