Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.915336,0.927799,0.732653,0.857937,"1,936,570","219,287,000"
"Mar 03, 2018",1.01,1.01,0.874412,0.915600,"1,966,270","241,606,000"
"Mar 02, 2018",1.03,1.08,0.901011,1.01,"2,565,560","246,343,000"
"Mar 01, 2018",1.06,1.15,0.997542,1.03,"2,033,340","253,846,000"
"Feb 28, 2018",1.09,1.23,1.05,1.06,"1,839,730","260,679,000"
"Feb 27, 2018",1.23,1.25,1.08,1.10,"2,789,550","294,196,000"
"Feb 26, 2018",1.23,1.28,1.19,1.23,"1,650,060","295,086,000"
"Feb 25, 2018",1.23,1.30,1.16,1.21,"1,202,500","294,946,000"
"Feb 24, 2018",1.31,1.36,1.20,1.23,"1,872,460","314,754,000"
"Feb 23, 2018",1.21,1.37,1.14,1.32,"3,370,030","288,826,000"
"Feb 22, 2018",1.26,1.39,1.09,1.23,"3,007,610","301,123,000"
"Feb 21, 2018",1.32,1.42,1.11,1.26,"3,777,420","317,242,000"
"Feb 20, 2018",1.60,1.62,1.26,1.33,"6,522,220","383,846,000"
"Feb 19, 2018",1.39,1.66,1.21,1.59,"10,619,600","333,462,000"
"Feb 18, 2018",1.20,1.43,1.05,1.40,"6,227,700","286,893,000"
"Feb 17, 2018",0.995658,1.19,0.983455,1.19,"4,000,670","238,530,000"
"Feb 16, 2018",1.00,1.04,0.924691,0.996515,"1,243,790","240,425,000"
"Feb 15, 2018",1.03,1.07,0.961322,1.01,"2,709,260","245,915,000"
"Feb 14, 2018",0.800916,1.24,0.785644,1.01,"3,180,900","191,876,000"
"Feb 13, 2018",0.847653,0.849892,0.745219,0.801265,"281,850","203,073,000"
"Feb 12, 2018",0.732832,0.846943,0.726402,0.830383,"234,201",-
"Feb 11, 2018",0.767819,0.789532,0.725288,0.729694,"143,034",-
"Feb 10, 2018",0.851090,0.940562,0.733422,0.769066,"144,515",-
"Feb 09, 2018",0.796670,0.907430,0.761844,0.868342,"125,550",-
"Feb 08, 2018",0.789037,0.870134,0.770017,0.785397,"358,548",-
"Feb 07, 2018",0.882117,0.936979,0.712722,0.789858,"736,475",-
"Feb 06, 2018",0.695512,0.921619,0.538115,0.890239,"841,198",-
"Feb 05, 2018",1.06,1.09,0.586339,0.699048,"738,262",-
"Feb 04, 2018",1.30,1.30,0.959495,1.07,"2,063,750",-
"Feb 03, 2018",0.884674,1.34,0.724908,1.30,"2,760,030",-
"Feb 02, 2018",0.790528,1.28,0.547151,0.879497,"1,023,190",-
