Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",10178.80,14494.40,8196.98,14494.40,"13,651","15,339,400"
"Mar 03, 2018",8083.44,10201.10,8083.44,10196.40,"3,143","12,181,700"
"Mar 02, 2018",10024.30,10452.60,7912.15,8093.34,"8,741","15,106,600"
"Mar 01, 2018",8728.46,10383.20,8658.71,10050.10,"46,050","13,153,800"
"Feb 28, 2018",9039.34,9310.43,8312.35,8715.62,"2,859","13,622,300"
"Feb 27, 2018",8622.35,9252.15,8350.10,9050.01,"29,209","12,993,900"
"Feb 26, 2018",7865.74,8978.63,6888.79,8597.50,"25,101","11,853,700"
"Feb 25, 2018",8668.24,8818.52,7855.68,7855.68,251,"13,063,000"
"Feb 24, 2018",9090.30,9405.51,8411.40,8681.64,"22,581","13,699,100"
"Feb 23, 2018",8860.14,9707.52,8394.91,9101.81,"58,391","13,352,200"
"Feb 22, 2018",9752.16,10154.50,8868.42,8868.42,"13,930","14,696,500"
"Feb 21, 2018",11175.70,11196.40,6978.69,9762.06,"32,765","16,841,800"
"Feb 20, 2018",11133.50,11712.30,11070.00,11189.70,"34,054","16,778,200"
"Feb 19, 2018",10561.60,11210.00,10461.40,11123.40,"34,165","15,916,300"
"Feb 18, 2018",11401.80,11596.50,10477.20,10610.40,"10,485","17,182,500"
"Feb 17, 2018",10247.20,11434.10,10115.30,11366.90,"17,901","15,442,500"
"Feb 16, 2018",12000.60,12263.30,10107.00,10249.50,"14,729","18,084,900"
"Feb 15, 2018",9122.88,12217.80,9019.44,12052.10,"62,108","13,748,200"
"Feb 14, 2018",8055.69,9740.77,8055.69,9117.94,"30,499","12,139,900"
"Feb 13, 2018",8363.69,8622.14,7987.67,8079.78,"33,206","12,604,100"
"Feb 12, 2018",8106.35,8832.58,8106.35,8348.50,"6,086","12,216,300"
"Feb 11, 2018",8660.23,8660.23,7983.58,8055.01,"19,333","13,051,000"
"Feb 10, 2018",8536.73,9612.58,8100.51,8667.64,"22,483","12,864,800"
"Feb 09, 2018",8899.60,9081.59,7662.74,8530.50,"22,631","13,411,700"
"Feb 08, 2018",7353.87,9114.13,7353.87,8872.31,"19,806","11,082,300"
"Feb 07, 2018",8370.68,8873.42,7368.10,7383.39,"68,325","12,614,600"
"Feb 06, 2018",7387.14,8590.84,6271.28,8461.93,"37,301","11,132,400"
"Feb 05, 2018",8959.59,9144.42,7086.24,7377.81,"31,454","13,502,100"
"Feb 04, 2018",9012.89,10501.00,8652.66,9047.33,"24,021","13,582,400"
"Feb 03, 2018",8725.57,9489.62,8254.04,9008.27,"19,610","13,149,400"
"Feb 02, 2018",8940.05,9055.43,7574.45,8695.89,"20,439","13,472,700"
"Feb 01, 2018",9644.49,10371.90,8725.95,8958.55,"86,057","14,534,200"
"Jan 31, 2018",9382.28,9837.86,9031.24,9622.12,"61,781","14,139,100"
"Jan 30, 2018",10971.90,10971.90,9258.39,9426.84,"56,351","16,534,700"
"Jan 29, 2018",12277.30,12436.20,10647.40,10968.30,"67,769","18,501,800"
"Jan 28, 2018",11674.20,12680.10,10864.20,12289.00,"96,317","17,593,100"
"Jan 27, 2018",11237.60,12006.20,9629.31,11614.80,"253,032","16,935,100"
"Jan 26, 2018",12988.00,13517.50,10794.90,11703.90,"100,648","19,572,900"
