Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.372814,0.386165,0.354826,0.360532,"363,084","171,939,000"
"Mar 03, 2018",0.373596,0.414888,0.359509,0.373228,"901,588","172,061,000"
"Mar 02, 2018",0.359189,0.432270,0.353480,0.372367,"2,409,880","165,426,000"
"Mar 01, 2018",0.331850,0.368763,0.330557,0.357597,"576,275","152,834,000"
"Feb 28, 2018",0.359038,0.359780,0.331885,0.331885,"877,622","165,356,000"
"Feb 27, 2018",0.401480,0.407083,0.349650,0.362172,"1,317,020","184,903,000"
"Feb 26, 2018",0.353447,0.411286,0.350483,0.399285,"2,487,780","162,781,000"
"Feb 25, 2018",0.320139,0.355460,0.317645,0.351748,"818,277","147,441,000"
"Feb 24, 2018",0.320312,0.331431,0.300732,0.320564,"685,591","147,521,000"
"Feb 23, 2018",0.312299,0.343459,0.297092,0.322044,"584,760","143,830,000"
"Feb 22, 2018",0.342089,0.362295,0.306412,0.309009,"657,212","155,840,000"
"Feb 21, 2018",0.378126,0.378126,0.332997,0.348541,"634,193","172,256,000"
"Feb 20, 2018",0.359569,0.412259,0.340046,0.378012,"1,558,280","163,803,000"
"Feb 19, 2018",0.362143,0.381196,0.353806,0.359394,"669,817","164,975,000"
"Feb 18, 2018",0.391669,0.391669,0.332836,0.364095,"958,446","178,426,000"
"Feb 17, 2018",0.362158,0.414321,0.355107,0.398163,"1,324,370","164,982,000"
"Feb 16, 2018",0.387702,0.398467,0.323640,0.360823,"1,547,380","176,619,000"
"Feb 15, 2018",0.417962,0.427640,0.379838,0.389025,"1,476,100","190,404,000"
"Feb 14, 2018",0.361957,0.416411,0.359636,0.416411,"1,515,440","164,891,000"
"Feb 13, 2018",0.406382,0.412446,0.356996,0.362296,"1,386,780","185,129,000"
"Feb 12, 2018",0.376106,0.421724,0.366332,0.406303,"1,702,230","171,336,000"
"Feb 11, 2018",0.397330,0.403052,0.342298,0.373370,"778,810","181,005,000"
"Feb 10, 2018",0.460298,0.461926,0.383217,0.402794,"1,041,510","209,180,000"
"Feb 09, 2018",0.439722,0.461946,0.402729,0.452531,"987,404","199,829,000"
"Feb 08, 2018",0.411923,0.479440,0.392971,0.437950,"1,206,670","187,196,000"
"Feb 07, 2018",0.439809,0.473985,0.379144,0.424757,"1,351,560","199,868,000"
"Feb 06, 2018",0.348950,0.460961,0.275638,0.444417,"2,302,810","158,578,000"
"Feb 05, 2018",0.458221,0.482665,0.290725,0.343118,"1,499,930","208,236,000"
"Feb 04, 2018",0.573894,0.577038,0.452272,0.452272,"1,132,860","260,802,000"
"Feb 03, 2018",0.548575,0.596260,0.499154,0.577193,"1,934,110","242,928,000"
"Feb 02, 2018",0.588841,0.588841,0.417404,0.541611,"2,447,200","260,760,000"
"Feb 01, 2018",0.679760,0.737812,0.503635,0.587177,"3,038,610","301,022,000"
"Jan 31, 2018",0.673776,0.722246,0.612334,0.680466,"2,161,090",-
"Jan 30, 2018",0.824925,0.842464,0.594241,0.671926,"3,431,250",-
"Jan 29, 2018",0.936362,0.959048,0.761180,0.827330,"3,120,240",-
"Jan 28, 2018",1.04,1.10,0.870578,0.954039,"5,438,170",-
"Jan 27, 2018",0.820519,1.09,0.814485,1.03,"9,892,060",-
"Jan 26, 2018",0.706576,0.820280,0.644165,0.820280,"4,793,950",-
"Jan 25, 2018",0.743883,0.749617,0.642501,0.698890,"3,965,760",-
"Jan 24, 2018",0.756694,0.757562,0.666560,0.738312,"3,972,700",-
"Jan 23, 2018",0.872048,0.877112,0.641947,0.764534,"4,031,830",-
"Jan 22, 2018",1.03,1.05,0.692245,0.875838,"6,859,960",-
"Jan 21, 2018",1.25,1.29,1.01,1.04,"8,653,360",-
"Jan 20, 2018",1.49,1.86,1.13,1.25,"20,750,800",-
"Jan 19, 2018",0.539288,1.70,0.534627,1.52,"17,465,100",-
