Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",156.49,167.71,143.06,154.67,"22,491","127,709,000"
"Mar 03, 2018",133.06,173.77,123.41,155.71,"7,404","108,581,000"
"Mar 02, 2018",168.21,187.79,99.36,132.46,"31,057","137,272,000"
"Mar 01, 2018",131.35,176.00,126.25,168.66,"8,314","107,191,000"
"Feb 28, 2018",136.43,144.05,129.47,131.27,497,"111,338,000"
"Feb 27, 2018",123.39,140.31,119.31,136.15,"19,804","100,697,000"
"Feb 26, 2018",156.29,157.77,119.09,123.31,"12,840","127,542,000"
"Feb 25, 2018",150.42,157.68,136.19,156.05,657,"122,755,000"
"Feb 24, 2018",167.43,172.81,142.88,150.85,"8,181","136,629,000"
"Feb 23, 2018",157.06,169.59,145.85,164.65,"1,165","128,173,000"
"Feb 22, 2018",172.08,179.32,151.86,156.25,"4,622","140,425,000"
"Feb 21, 2018",184.04,200.43,165.09,170.93,"17,634","150,190,000"
"Feb 20, 2018",196.00,212.00,181.76,183.35,"9,547","159,951,000"
"Feb 19, 2018",187.47,202.77,177.57,195.13,"9,226","152,987,000"
"Feb 18, 2018",200.42,205.80,144.36,190.34,"1,768","163,558,000"
"Feb 17, 2018",188.02,213.66,163.54,201.95,"6,477","153,434,000"
"Feb 16, 2018",180.00,190.32,89.83,188.64,"11,699","146,894,000"
"Feb 15, 2018",180.80,224.66,158.44,180.90,"6,487","147,542,000"
"Feb 14, 2018",156.41,182.66,151.90,181.52,"5,231","127,636,000"
"Feb 13, 2018",159.35,162.31,143.48,156.84,907,"130,038,000"
"Feb 12, 2018",146.04,161.00,142.10,159.34,"4,261","119,175,000"
"Feb 11, 2018",157.12,157.50,136.01,146.26,"9,547","128,223,000"
"Feb 10, 2018",163.28,173.14,136.11,157.35,"30,095","133,244,000"
"Feb 09, 2018",151.98,164.92,140.95,160.93,"47,760","124,022,000"
"Feb 08, 2018",132.73,153.87,104.10,150.59,"5,555","108,314,000"
