Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.853580,0.914642,0.804459,0.907661,"2,429,190","16,455,400"
"Mar 03, 2018",0.881214,0.887486,0.819800,0.858925,"1,741,940","16,926,000"
"Mar 02, 2018",0.866227,1.06,0.816917,0.915117,"4,725,210","16,582,500"
"Mar 01, 2018",0.756279,0.871334,0.716044,0.870192,"1,460,120","14,424,500"
"Feb 28, 2018",0.776298,0.800325,0.736629,0.753026,"321,416","14,747,100"
"Feb 27, 2018",0.791758,0.802350,0.761013,0.780278,"426,829","14,983,900"
"Feb 26, 2018",0.739996,0.812902,0.722831,0.794496,"210,944","13,883,700"
"Feb 25, 2018",0.755217,0.798181,0.717304,0.739049,"293,122","14,169,300"
"Feb 24, 2018",0.796078,0.824045,0.719380,0.756407,"181,441","14,935,300"
"Feb 23, 2018",0.788915,0.816522,0.747160,0.797084,"284,637","14,762,700"
"Feb 22, 2018",0.816545,0.893751,0.767256,0.789651,"488,502","15,248,200"
"Feb 21, 2018",0.841429,0.867764,0.799204,0.824097,"396,827","15,682,400"
"Feb 20, 2018",0.917815,0.974791,0.833576,0.842478,"782,073","17,068,900"
"Feb 19, 2018",0.861161,0.944049,0.858504,0.914585,"459,779","15,981,300"
"Feb 18, 2018",0.939573,0.952542,0.838082,0.865145,"320,513","17,395,800"
"Feb 17, 2018",0.842611,0.938060,0.826461,0.921855,"496,495","15,568,500"
"Feb 16, 2018",0.828777,0.880000,0.800257,0.843152,"355,575","15,283,000"
"Feb 15, 2018",0.801919,0.881119,0.770279,0.838556,"540,556","14,754,900"
"Feb 14, 2018",0.742243,0.818480,0.734088,0.803453,"571,577","13,628,300"
"Feb 13, 2018",0.730516,0.947066,0.702898,0.746137,"5,942,350","13,370,500"
"Feb 12, 2018",0.677914,0.745333,0.671264,0.729001,"730,223","12,389,100"
"Feb 11, 2018",0.695256,0.716048,0.625526,0.706389,"239,743","12,680,100"
"Feb 10, 2018",0.743022,0.762909,0.660588,0.695847,"1,037,710","13,521,400"
"Feb 09, 2018",0.683698,0.763905,0.639071,0.749618,"1,608,500","12,414,300"
"Feb 08, 2018",0.647084,0.749519,0.640962,0.679310,"1,508,320","11,722,000"
"Feb 07, 2018",0.602607,1.04,0.509750,0.657617,"7,816,970","10,889,300"
"Feb 06, 2018",0.533180,0.629619,0.416684,0.608775,"741,270","9,612,120"
"Feb 05, 2018",0.729568,0.759223,0.509303,0.520849,"383,839","13,127,300"
"Feb 04, 2018",0.867370,0.869701,0.660841,0.739561,"296,639","15,581,100"
"Feb 03, 2018",0.819380,0.905701,0.685501,0.866934,"580,721","14,694,800"
"Feb 02, 2018",0.816035,0.836646,0.566691,0.836646,"907,179","14,611,700"
"Feb 01, 2018",0.973167,1.06,0.747943,0.816551,"1,642,670","17,391,100"
"Jan 31, 2018",0.974173,1.08,0.871500,0.970384,"1,538,380","17,348,900"
"Jan 30, 2018",1.23,1.23,0.972678,0.972678,"1,600,900","21,856,800"
"Jan 29, 2018",1.21,1.27,1.10,1.23,"4,909,800","21,521,900"
"Jan 28, 2018",1.12,1.32,1.12,1.18,"9,939,580","19,869,300"
"Jan 27, 2018",0.965432,1.22,0.950047,1.11,"8,231,060","17,076,800"
"Jan 26, 2018",0.898045,1.01,0.849919,0.980899,"2,620,850","15,851,400"
"Jan 25, 2018",0.912168,0.943016,0.875298,0.900433,"351,119","16,073,700"
"Jan 24, 2018",0.839287,0.935861,0.802972,0.898709,"771,967","14,761,300"
"Jan 23, 2018",0.918756,0.923930,0.769080,0.839956,"1,367,890","16,122,500"
"Jan 22, 2018",1.21,1.21,0.838988,0.934188,"12,927,400","21,263,700"
"Jan 21, 2018",0.880056,1.25,0.841718,0.943581,"15,925,800","15,386,500"
"Jan 20, 2018",0.809196,0.915063,0.790934,0.885177,"451,539","14,123,700"
"Jan 19, 2018",0.773572,0.835050,0.734281,0.801382,"530,764","13,476,400"
"Jan 18, 2018",0.738507,1.22,0.710401,0.781712,"549,078","12,844,800"
"Jan 17, 2018",0.637870,0.758565,0.508079,0.744847,"797,684","11,074,700"
"Jan 16, 2018",0.885826,0.900727,0.531618,0.626353,"1,234,580","15,353,200"
"Jan 15, 2018",0.950492,0.956430,0.870834,0.879458,"804,221","16,444,300"
"Jan 14, 2018",1.00,1.22,0.882076,0.967866,"820,358","17,299,900"
"Jan 13, 2018",1.01,1.04,0.976401,1.04,"1,307,520","17,467,900"
"Jan 12, 2018",0.776763,1.20,0.740726,1.01,"7,165,120","13,357,500"
"Jan 11, 2018",0.898618,0.920345,0.660263,0.771663,"937,013","15,424,900"
"Jan 10, 2018",1.00,1.05,0.844360,0.899334,"1,496,210","17,170,200"
"Jan 09, 2018",1.07,1.12,0.977783,0.986658,"2,304,910","18,301,600"
"Jan 08, 2018",0.861586,1.37,0.861586,1.11,"15,801,500","14,701,900"
"Jan 07, 2018",0.827950,0.924359,0.778438,0.855546,"1,232,980","14,103,700"
"Jan 06, 2018",0.776733,0.857978,0.728323,0.827990,"980,390","13,211,700"
"Jan 05, 2018",0.820547,0.925229,0.769547,0.770253,"1,965,840","13,943,500"
"Jan 04, 2018",0.783064,0.888458,0.720718,0.820839,"1,987,020","13,293,700"
"Jan 03, 2018",0.762362,0.789954,0.682061,0.777757,"1,334,550","12,928,700"
"Jan 02, 2018",0.700084,0.802643,0.694205,0.764783,"1,261,520","11,858,400"
"Jan 01, 2018",0.670762,0.752560,0.641213,0.695472,"1,651,690","11,348,900"
"Dec 31, 2017",0.606234,0.716285,0.602469,0.669422,"648,413","10,244,700"
"Dec 30, 2017",0.746982,0.746982,0.557597,0.616903,"979,819","12,610,900"
"Dec 29, 2017",0.709548,0.871784,0.668030,0.738814,"2,559,360","11,967,200"
"Dec 28, 2017",0.807468,0.821736,0.614958,0.721550,"1,910,830","13,605,700"
"Dec 27, 2017",0.779456,0.875417,0.688015,0.816162,"1,999,720","13,119,200"
"Dec 26, 2017",0.878122,0.878122,0.692198,0.768532,"2,027,030","14,754,500"
"Dec 25, 2017",0.785515,1.05,0.728292,0.885656,"7,773,120","13,191,000"
"Dec 24, 2017",0.520532,0.808550,0.461203,0.808550,"8,376,590","8,731,230"
"Dec 23, 2017",0.461644,0.589696,0.451296,0.514847,"1,462,720","7,734,370"
"Dec 22, 2017",0.581129,0.664978,0.363214,0.455692,"3,296,040","9,721,510"
"Dec 21, 2017",0.568710,0.635091,0.530377,0.583015,"1,295,550","9,511,880"
"Dec 20, 2017",0.599779,0.657183,0.523024,0.554685,"1,650,460","10,023,000"
"Dec 19, 2017",0.653138,0.663700,0.569038,0.587036,"1,375,790","10,903,700"
"Dec 18, 2017",0.591751,0.666956,0.557650,0.640980,"1,222,300","9,842,200"
"Dec 17, 2017",0.574160,0.605132,0.559444,0.590153,"858,014","9,549,630"
"Dec 16, 2017",0.541980,0.593519,0.525653,0.581420,"531,512","9,014,400"
"Dec 15, 2017",0.555282,0.556861,0.511836,0.541392,"533,801","9,235,640"
"Dec 14, 2017",0.528425,0.578808,0.509059,0.546570,"974,448","8,785,370"
"Dec 13, 2017",0.531315,0.539577,0.484778,0.528659,"482,723","8,825,940"
"Dec 12, 2017",0.501956,0.591258,0.483017,0.528493,"972,998","8,331,160"
"Dec 11, 2017",0.452085,0.531345,0.449517,0.500350,"433,518","7,497,090"
"Dec 10, 2017",0.466608,0.479193,0.385567,0.447013,"257,548","7,731,450"
"Dec 09, 2017",0.489502,0.511467,0.405754,0.470981,"263,496","8,103,990"
"Dec 08, 2017",0.531407,0.539612,0.428307,0.489996,"895,748","8,790,460"
