Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.020598,0.020681,0.017751,0.019924,"732,045","10,275,900"
"Mar 03, 2018",0.018840,0.022695,0.018773,0.020407,"769,954","9,399,020"
"Mar 02, 2018",0.023242,0.025440,0.018438,0.018999,"874,647","11,595,000"
"Mar 01, 2018",0.024043,0.027645,0.017108,0.025229,"1,123,350","11,994,900"
"Feb 28, 2018",0.026558,0.027244,0.023781,0.023962,"854,861","13,249,700"
"Feb 27, 2018",0.027066,0.029239,0.025856,0.026360,"948,562","13,502,700"
"Feb 26, 2018",0.027436,0.030960,0.026291,0.027642,"1,011,730","13,687,600"
"Feb 25, 2018",0.026312,0.027946,0.024660,0.026846,"1,010,650","13,126,800"
"Feb 24, 2018",0.029242,0.030450,0.024718,0.026120,"710,585","14,588,300"
"Feb 23, 2018",0.026868,0.030136,0.026142,0.028476,"489,139","13,404,000"
"Feb 22, 2018",0.033228,0.035112,0.026803,0.026803,"484,775","16,577,000"
"Feb 21, 2018",0.035747,0.035747,0.032492,0.033362,"582,961","17,833,800"
"Feb 20, 2018",0.040821,0.042186,0.034955,0.035407,"562,544","20,365,300"
"Feb 19, 2018",0.041310,0.045177,0.039609,0.040414,"582,583","20,609,000"
"Feb 18, 2018",0.043622,0.044704,0.038874,0.041856,"473,205","21,762,700"
"Feb 17, 2018",0.039757,0.044530,0.038791,0.042802,"675,660","19,834,100"
"Feb 16, 2018",0.041237,0.042250,0.038321,0.040014,"622,024","20,572,500"
"Feb 15, 2018",0.038197,0.042547,0.034842,0.041742,"659,237","19,056,100"
"Feb 14, 2018",0.034255,0.039114,0.034053,0.038256,"554,994","17,089,300"
"Feb 13, 2018",0.037557,0.037851,0.033719,0.034681,"490,983","18,736,600"
"Feb 12, 2018",0.034730,0.038030,0.034239,0.037241,"557,108","17,326,400"
"Feb 11, 2018",0.039477,0.039763,0.024715,0.034552,"696,620","19,694,800"
"Feb 10, 2018",0.031320,0.045804,0.029748,0.039656,"973,246","15,625,100"
"Feb 09, 2018",0.030061,0.032159,0.021041,0.032159,"954,742","14,997,300"
"Feb 08, 2018",0.025965,0.032229,0.025965,0.030196,"837,104","12,953,800"
"Feb 07, 2018",0.021349,0.032932,0.016231,0.026110,"1,070,800","10,650,700"
"Feb 06, 2018",0.025851,0.026611,0.017129,0.024379,"1,308,970","12,896,600"
"Feb 05, 2018",0.029250,0.034418,0.021750,0.025677,"1,128,890","14,592,700"
"Feb 04, 2018",0.037299,0.043692,0.027217,0.028210,"1,343,540","18,607,800"
"Feb 03, 2018",0.035884,0.044831,0.032453,0.038676,"1,660,380","17,902,000"
"Feb 02, 2018",0.041753,0.043714,0.029627,0.036207,"1,459,230","20,829,900"
"Feb 01, 2018",0.050301,0.052997,0.037563,0.041752,"1,426,430","25,094,500"
"Jan 31, 2018",0.059685,0.060988,0.048245,0.049426,"1,665,310","29,775,900"
"Jan 30, 2018",0.067850,0.069599,0.056907,0.058871,"1,778,450","33,849,400"
"Jan 29, 2018",0.070267,0.073448,0.065366,0.068119,"1,957,110","35,055,200"
"Jan 28, 2018",0.065354,0.075217,0.062143,0.070682,"2,105,810","32,604,400"
"Jan 27, 2018",0.071524,0.072797,0.061755,0.064865,"1,749,710","35,682,600"
"Jan 26, 2018",0.069970,0.083826,0.065181,0.071584,"2,381,900","34,907,200"
"Jan 25, 2018",0.056285,0.079807,0.049105,0.072088,"2,681,820","28,079,800"
"Jan 24, 2018",0.067215,0.071338,0.052191,0.055419,"2,247,690","43,220,000"
"Jan 23, 2018",0.082237,0.090102,0.059968,0.067647,"2,027,800","52,879,600"
"Jan 22, 2018",0.085720,0.095172,0.072326,0.084066,"1,225,450","55,119,200"
"Jan 21, 2018",0.101928,0.101928,0.080632,0.084746,"1,174,630","65,540,700"
"Jan 20, 2018",0.093586,0.104542,0.091874,0.101673,"1,446,280","60,176,800"
"Jan 19, 2018",0.082636,0.102749,0.082621,0.092560,"1,559,000","53,135,900"
"Jan 18, 2018",0.081310,0.093892,0.077292,0.084210,"1,238,020","52,283,600"
"Jan 17, 2018",0.086363,0.090655,0.051504,0.079397,"1,334,080","55,532,200"
"Jan 16, 2018",0.139345,0.139345,0.065332,0.087628,"1,919,190","89,600,500"
"Jan 15, 2018",0.163429,0.171911,0.138871,0.139132,"2,388,720","105,087,000"
"Jan 14, 2018",0.163163,0.175638,0.132870,0.163973,"4,681,150","104,916,000"
"Jan 13, 2018",0.131421,0.172890,0.131421,0.161884,"5,771,830","84,505,200"
"Jan 12, 2018",0.105522,0.131370,0.098848,0.130980,"3,558,660","67,852,000"
"Jan 11, 2018",0.147751,0.147751,0.100034,0.106236,"4,107,560","95,005,700"
"Jan 10, 2018",0.095896,0.150515,0.092901,0.149555,"7,314,840","61,662,200"
"Jan 09, 2018",0.069453,0.103502,0.064965,0.095925,"4,639,420","44,659,300"
"Jan 08, 2018",0.077231,0.079517,0.056118,0.071005,"2,236,450","49,660,300"
"Jan 07, 2018",0.084218,0.084822,0.064610,0.077322,"2,957,580","54,153,200"
"Jan 06, 2018",0.047656,0.084929,0.044143,0.084929,"3,021,780","30,643,300"
"Jan 05, 2018",0.037280,0.047443,0.036861,0.047443,"1,960,390","23,971,500"
"Jan 04, 2018",0.029767,0.040817,0.027200,0.037765,"1,523,950","19,140,400"
"Jan 03, 2018",0.029160,0.034469,0.026512,0.030385,"1,335,180","18,750,000"
"Jan 02, 2018",0.023624,0.036948,0.021679,0.029258,"2,062,570","15,190,800"
"Jan 01, 2018",0.020074,0.024042,0.016158,0.021936,"1,530,950","12,908,100"
"Dec 31, 2017",0.012462,0.020261,0.011543,0.019455,"1,300,350","8,013,110"
"Dec 30, 2017",0.013877,0.015579,0.012375,0.012599,"973,288","8,922,880"
"Dec 29, 2017",0.011383,0.016056,0.010966,0.014569,"1,224,310","7,319,490"
"Dec 28, 2017",0.012125,0.012467,0.010434,0.011275,"724,490","7,796,290"
"Dec 27, 2017",0.010745,0.012659,0.010378,0.012146,"1,046,940","6,908,950"
"Dec 26, 2017",0.009726,0.011490,0.009221,0.010718,"1,151,380","6,253,760"
"Dec 25, 2017",0.010381,0.010999,0.009514,0.009736,"792,107","6,674,790"
"Dec 24, 2017",0.011727,0.011727,0.008150,0.010293,"1,510,300","7,540,470"
"Dec 23, 2017",0.010577,0.012644,0.010496,0.011461,"1,053,480","6,800,950"
"Dec 22, 2017",0.010533,0.015066,0.008934,0.010699,"1,381,710","6,772,940"
"Dec 21, 2017",0.012590,0.040914,0.009327,0.011722,"950,014","8,095,460"
"Dec 20, 2017",0.015273,0.015273,0.010436,0.012526,"830,393","9,820,730"
"Dec 19, 2017",0.017558,0.020149,0.012427,0.014853,"1,094,800","11,290,000"
"Dec 18, 2017",0.015199,0.018400,0.013545,0.016952,"1,424,580","9,773,050"
"Dec 17, 2017",0.015998,0.017090,0.015057,0.015302,"532,052","10,286,900"
"Dec 16, 2017",0.013857,0.016513,0.013267,0.015821,"951,374","8,910,090"
"Dec 15, 2017",0.016819,0.016828,0.012920,0.014069,"756,830","10,814,700"
"Dec 14, 2017",0.008218,0.017008,0.008170,0.016649,"1,100,880","5,284,390"
"Dec 13, 2017",0.008839,0.011998,0.007673,0.008244,"458,931","5,683,580"
"Dec 12, 2017",0.010423,0.010653,0.007791,0.008994,"441,005","6,702,320"
"Dec 11, 2017",0.009650,0.010859,0.009080,0.010390,"500,827","6,205,000"
"Dec 10, 2017",0.009927,0.010464,0.008355,0.009719,"455,540","6,383,440"
"Dec 09, 2017",0.010442,0.010595,0.007649,0.010033,"603,673","6,714,060"
"Dec 08, 2017",0.012439,0.012716,0.007814,0.010138,"708,626","7,998,420"
"Dec 07, 2017",0.011525,0.013384,0.007986,0.012244,"771,034","7,410,870"
"Dec 06, 2017",0.011370,0.012799,0.010213,0.011017,"620,395","7,311,310"
"Dec 05, 2017",0.009718,0.013276,0.009147,0.010518,"585,720","6,248,680"
"Dec 04, 2017",0.008841,0.009768,0.008162,0.009598,"265,810","5,684,560"
"Dec 03, 2017",0.008927,0.010178,0.008208,0.008879,"198,949","5,740,360"
"Dec 02, 2017",0.007919,0.008707,0.007169,0.008471,"178,636","5,091,830"
"Dec 01, 2017",0.007325,0.007969,0.006100,0.007893,"357,222","4,709,920"
"Nov 30, 2017",0.005964,0.007717,0.005377,0.007406,"751,361","3,834,980"
"Nov 29, 2017",0.006542,0.007451,0.005579,0.005762,"1,159,700","4,206,680"
"Nov 28, 2017",0.007196,0.007198,0.005984,0.006430,"2,277,880","4,627,400"
"Nov 27, 2017",0.007100,0.007738,0.006113,0.006512,"363,764","4,565,580"
"Nov 26, 2017",0.008002,0.008568,0.006853,0.007402,"411,722","5,145,490"
"Nov 25, 2017",0.006724,0.009198,0.006123,0.008169,"452,725","4,323,590"
"Nov 24, 2017",0.006814,0.008042,0.005640,0.006816,"297,515","4,381,200"
"Nov 23, 2017",0.007257,0.007584,0.005827,0.006823,"297,979","4,666,340"
"Nov 22, 2017",0.008209,0.008269,0.007108,0.007329,"245,413","5,278,310"
"Nov 21, 2017",0.008984,0.009195,0.008065,0.008189,"247,620","5,776,750"
"Nov 20, 2017",0.008112,0.009122,0.007876,0.008982,"582,833","5,216,020"
"Nov 19, 2017",0.007937,0.008502,0.007470,0.008116,"322,062","5,103,560"
"Nov 18, 2017",0.008494,0.008711,0.007556,0.007880,"278,700","5,461,430"
"Nov 17, 2017",0.007392,0.009145,0.007014,0.008410,"491,808","4,753,280"
"Nov 16, 2017",0.006941,0.008491,0.006774,0.007774,"262,251","4,462,990"
"Nov 15, 2017",0.006260,0.006933,0.005603,0.006923,"297,214","4,025,010"
"Nov 14, 2017",0.005943,0.006401,0.005943,0.006190,"118,553","3,821,600"
"Nov 13, 2017",0.005763,0.006936,0.005558,0.005931,"223,145","3,705,450"
"Nov 12, 2017",0.006906,0.006906,0.005337,0.005678,"288,785","4,440,640"
"Nov 11, 2017",0.007159,0.007474,0.006801,0.006918,"150,923","4,603,320"
"Nov 10, 2017",0.008433,0.008899,0.007085,0.007184,"186,600","5,422,250"
"Nov 09, 2017",0.008094,0.009698,0.007443,0.008408,"285,281","5,204,570"
"Nov 08, 2017",0.007181,0.009347,0.007110,0.008103,"141,418","4,617,700"
"Nov 07, 2017",0.008144,0.008413,0.007040,0.007269,"242,275","5,236,840"
"Nov 06, 2017",0.008282,0.008513,0.007026,0.008157,"75,407","5,325,190"
"Nov 05, 2017",0.006786,0.008977,0.006272,0.007861,"58,610","4,363,490"
"Nov 04, 2017",0.007295,0.008382,0.005562,0.006799,"56,350","4,690,880"
"Nov 03, 2017",0.005428,0.007867,0.004476,0.007312,"30,000","3,490,290"
"Nov 02, 2017",0.007408,0.008058,0.004147,0.006335,"28,793","4,763,400"
"Nov 01, 2017",0.008484,0.008484,0.007212,0.007399,"27,459","5,455,480"
"Oct 31, 2017",0.010096,0.011117,0.006958,0.007513,"63,166","6,492,130"
"Oct 30, 2017",0.007171,0.011501,0.005189,0.009974,"68,167","4,611,020"
"Oct 29, 2017",0.007673,0.008416,0.007212,0.007212,"25,073","4,934,120"
"Oct 28, 2017",0.009036,0.009767,0.007436,0.007683,"45,314","5,810,040"
"Oct 27, 2017",0.009956,0.011445,0.008819,0.009012,"45,865","6,401,910"
"Oct 26, 2017",0.009719,0.010533,0.009296,0.009954,"34,412","6,249,360"
"Oct 25, 2017",0.011156,0.011156,0.008274,0.009721,"107,520","7,173,680"
"Oct 24, 2017",0.012754,0.014971,0.011010,0.011252,"147,464","8,201,070"
"Oct 23, 2017",0.010475,0.015111,0.008833,0.013118,"118,854","6,735,820"
"Oct 22, 2017",0.012908,0.013790,0.010441,0.010492,"33,241","8,299,710"
"Oct 21, 2017",0.014259,0.015809,0.010680,0.013017,"80,100","9,168,650"
"Oct 20, 2017",0.015534,0.016857,0.013981,0.014007,"131,178","9,988,690"
"Oct 19, 2017",0.016075,0.021114,0.014578,0.015530,"201,029","10,336,200"
"Oct 18, 2017",0.029740,0.029843,0.015633,0.016144,"577,515","19,123,200"
"Oct 17, 2017",0.029676,0.035484,0.027392,0.029709,"893,598","19,081,700"
"Oct 16, 2017",0.027796,0.029884,0.021589,0.029884,"183,665","17,873,300"
"Oct 15, 2017",0.025076,0.030027,0.024126,0.028273,"223,549","16,124,000"
"Oct 14, 2017",0.020256,0.029036,0.019353,0.025035,"146,814","13,024,600"
"Oct 13, 2017",0.025829,0.027948,0.017535,0.020243,"187,099","16,608,200"
"Oct 12, 2017",0.027755,0.031658,0.025474,0.026891,"441,855","17,846,600"
"Oct 11, 2017",0.023488,0.029259,0.021697,0.027130,"478,598","15,103,400"
"Oct 10, 2017",0.023034,0.031892,0.022214,0.023564,"606,824","14,811,200"
"Oct 09, 2017",0.019910,0.027190,0.019283,0.024066,"234,968","12,802,400"
"Oct 08, 2017",0.019752,0.027269,0.016629,0.019859,"452,641","12,693,900"
"Oct 07, 2017",0.022365,0.026513,0.015837,0.020008,"319,232","14,373,500"
"Oct 06, 2017",0.010625,0.027600,0.010555,0.021987,"1,254,810","6,828,340"
"Oct 05, 2017",0.011718,0.012444,0.008947,0.010625,"78,805",-
"Oct 04, 2017",0.012424,0.015849,0.010782,0.011788,"125,819",-
"Oct 03, 2017",0.009536,0.015407,0.008924,0.013216,"197,472",-
"Oct 02, 2017",0.017027,0.047616,0.007602,0.009550,"65,037",-
