Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.026384,0.026444,0.023906,0.025782,"160,489","30,424,700"
"Mar 03, 2018",0.026327,0.026666,0.021839,0.026388,"315,530","30,359,700"
"Mar 02, 2018",0.028511,0.028702,0.024848,0.026346,"629,434","32,877,500"
"Mar 01, 2018",0.028367,0.028826,0.027603,0.028519,"653,320","32,712,200"
"Feb 28, 2018",0.023873,0.029504,0.023799,0.028357,"661,538","27,529,700"
"Feb 27, 2018",0.026290,0.027828,0.023853,0.023859,"448,620","30,316,400"
"Feb 26, 2018",0.027153,0.028749,0.026177,0.026223,"521,003","31,311,600"
"Feb 25, 2018",0.028019,0.028576,0.026963,0.027137,"745,021","32,310,500"
"Feb 24, 2018",0.029477,0.029772,0.027379,0.028082,"359,113","33,991,900"
"Feb 23, 2018",0.027399,0.030218,0.024659,0.029501,"616,619","31,595,900"
"Feb 22, 2018",0.028628,0.028833,0.026582,0.027431,"680,512","33,012,800"
"Feb 21, 2018",0.028129,0.030241,0.027521,0.028671,"659,073","32,437,300"
"Feb 20, 2018",0.029482,0.030474,0.028094,0.028158,"843,681","33,997,300"
"Feb 19, 2018",0.029003,0.029865,0.028565,0.029476,"721,547","33,445,300"
"Feb 18, 2018",0.031045,0.031092,0.028929,0.029088,"888,617","35,799,700"
"Feb 17, 2018",0.028602,0.031166,0.028573,0.031034,"1,143,200","32,983,400"
"Feb 16, 2018",0.029785,0.031089,0.024744,0.028588,"923,694","34,347,300"
"Feb 15, 2018",0.030495,0.030495,0.029071,0.029804,"909,829","35,166,000"
"Feb 14, 2018",0.025681,0.030570,0.025681,0.030482,"875,162","29,614,600"
"Feb 13, 2018",0.026842,0.027629,0.025569,0.025691,"778,626","30,953,900"
"Feb 12, 2018",0.025767,0.028821,0.025571,0.026075,"842,676","29,713,800"
"Feb 11, 2018",0.028120,0.028120,0.024063,0.025666,"699,272","32,426,800"
"Feb 10, 2018",0.028422,0.028824,0.024046,0.028172,"819,350","32,775,900"
"Feb 09, 2018",0.025473,0.028782,0.024316,0.028427,"1,180,020","29,374,700"
"Feb 08, 2018",0.023212,0.026343,0.023212,0.025460,"91,474","26,767,100"
"Feb 07, 2018",0.026041,0.027023,0.022686,0.023232,"240,461","30,029,300"
"Feb 06, 2018",0.022271,0.026143,0.018929,0.026065,"809,071","25,682,300"
"Feb 05, 2018",0.026064,0.028124,0.020859,0.022208,"691,043","30,056,400"
